name,title,year,journal,doi,source,screened_reason
Boram Lee,High nasal resistance is stable over time but poorly perceived in people with tetraplegia and obstructive sleep apnoea,2017,Respiratory Physiology and Neurobiology,10.1016/j.resp.2016.09.014,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Probiotics for preventing urinary tract infection in people with neuropathic bladder,2017,Cochrane Database of Systematic Reviews,10.1002/14651858.cd010723.pub2,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,The effects of early or direct admission to a specialised spinal injury unit on outcomes after acute traumatic spinal cord injury,2017,Spinal Cord,10.1038/sc.2016.117,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Urinary catheter-associated microbiota change in accordance with treatment and infection status,2017,PLoS ONE,10.1371/journal.pone.0177633,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Attempting clinical democracy: Enhancing multivocality in a multidisciplinary clinical team,2016,Identity Trouble: Critical Discourse and Contested Identities,10.1057/9780230593329,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Probiotics [LGG-BB12 or RC14-GR1] versus placebo as prophylaxis for urinary tract infection in persons with spinal cord injury [ProSCIUTTU]: a study protocol for a randomised controlled trial,2016,BMC Urology,10.1186/s12894-016-0136-8,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Electrical stimulation of abdominal muscles to produce cough in spinal cord injury: Effect of stimulus intensity,2015,Neurorehabilitation and Neural Repair,10.1177/1545968314552527,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Short-term peripheral nerve stimulation ameliorates axonal dysfunction after spinal cord injury,2015,Journal of Neurophysiology,10.1152/jn.00839.2014,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Estimating the global incidence of traumatic spinal cord injury,2014,Spinal Cord,10.1038/sc.2013.135,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Global maps of non-traumatic spinal cord injury epidemiology: Towards a living data repository,2014,Spinal Cord,10.1038/sc.2012.165,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,"The global map for traumatic spinal cord injury epidemiology: Update 2011, global incidence rate",2014,Spinal Cord,10.1038/sc.2012.158,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Abdominal muscle training can enhance cough after spinal cord injury,2013,Neurorehabilitation and Neural Repair,10.1177/1545968313496324,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Auto-titrating continuous positive airway pressure treatment for obstructive sleep apnoea after acute quadriplegia (COSAQ): Study protocol for a randomized controlled trial,2013,Trials,10.1186/1745-6215-14-181,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,"Functional electrical stimulation cycling has no clear effect on urine output, lower limb swelling, and spasticity in people with spinal cord injury: A randomised cross-over trial",2013,Journal of Physiotherapy,10.1016/s1836-9553(13)70200-5,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,International spinal cord injury urinary tract infection basic data set,2013,Spinal Cord,10.1038/sc.2013.72,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Probiotics for preventing urinary tract infection in people with neuropathic bladder,2013,Cochrane Database of Systematic Reviews,10.1002/14651858.cd010723,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,An australian case of surfer's myelopathy,2012,Clinical Journal of Sport Medicine,10.1097/jsm.0b013e31824a5523,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Traumatic spinal cord injury in Saudi Arabia: An epidemiological estimate from Riyadh,2012,Spinal Cord,10.1038/sc.2012.65,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,A global map for traumatic spinal cord injury epidemiology: Towards a living data repository for injury prevention,2011,Spinal Cord,10.1038/sc.2010.146,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Posterolateral surface electrical stimulation of abdominal expiratory muscles to enhance cough in spinal cord injury,2011,Neurorehabilitation and Neural Repair,10.1177/1545968310378509,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Development of an international spinal injury prevention module: Application of the international classification of external cause of injury to spinal cord injury,2010,Spinal Cord,10.1038/sc.2009.168,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Effect on falls of providing single lens distance vision glasses to multifocal glasses wearers: VISIBLE randomised controlled trial,2010,BMJ (Online),10.1136/bmj.c2265,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Non-pharmacological treatment and prevention of bone loss after spinal cord injury: A systematic review,2009,Spinal Cord,10.1038/sc.2008.177,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Preventing falls in older multifocal glasses wearers by providing single-lens distance glasses: The protocol for the VISIBLE randomised controlled trial,2009,BMC Geriatrics,10.1186/1471-2318-9-10,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,The SF-36 walk-wheel: A simple modification of the SF-36 physical domain improves its responsiveness for measuring health status change in spinal cord injury,2009,Spinal Cord,10.1038/sc.2008.65,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Residual spinothalamic tract pathways predict development of central pain after spinal cord injury,2008,Brain,10.1093/brain/awn169,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Surface functional electrical stimulation of the abdominal muscles to enhance cough and assist tracheostomy decannulation after high-level spinal cord injury,2008,Journal of Spinal Cord Medicine,10.1080/10790268.2008.11753985,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,"Validity, responsiveness, and minimal important difference for the SF-6D health utility scale in a spinal cord injured population",2008,Value in Health,10.1111/j.1524-4733.2007.00311.x,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Methenamine hippurate for preventing urinary tract infections,2007,Cochrane Database of Systematic Reviews,10.1002/14651858.cd003265.pub2,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Spinal-injured neuropathic bladder antisepsis (SINBA) trial,2007,Spinal Cord,10.1038/sj.sc.3101974,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Boram Lee,Health status rated with the medical outcomes study 36-item short-form health survey after spinal cord injury,2005,Archives of Physical Medicine and Rehabilitation,10.1016/j.apmr.2005.07.293,ORCID,only 2% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,The willingness to pay and the willingness to stay in privately rented housing,2025,Housing Studies,10.1080/02673037.2025.2552397,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Working from Home during COVID-19 and Beyond: Exploring the Perceptions of Consultants in Construction,2023,Buildings,10.3390/buildings13010166,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Energy Consumption and Carbon Emissions of Mandatory Green Certified Offices in Australia: Evidence and Lessons Learnt across 2011–2020,2022,Sustainability,10.3390/su142113773,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Providing affordable housing through urban renewal projects in Australia: expert opinions on barriers and opportunities,2021,International Review for Spatial Planning and Sustainable Development,10.14246/irspsd.9.2_41,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Tenants’ office leasing motivators toward the tangible and symbolic aspects of office buildings: Between Green and Non-Green Buildings,2020,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/498/1/012104,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Analysing the characteristics of green and non-green buildings: From the real estate perspective,2019,AIP Conference Proceedings,10.1063/1.5117109,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Dimensions of Tenants' Office Leasing Behaviours: An Introductory Study,2019,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899x/601/1/012022,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Do office tenants really pay for the greenness?: Findings from PLS-SEM,2019,AIP Conference Proceedings,10.1063/1.5117112,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,A review of zero energy housing regulations for low-income households,2018,International Journal of Knowledge-Based Development,10.1504/ijkbd.2018.096416,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,How effective is mandatory building energy disclosure program in Australia?,2018,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/140/1/012106,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,"Green Features, Symbolic Values and Rental Premium: Systematic Review and Meta-analysis",2017,Procedia Engineering,10.1016/j.proeng.2017.04.163,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Tenants' Decision to or not to Lease Green & Non-green Buildings: A Conceptual Framework,2017,Procedia Engineering,10.1016/j.proeng.2017.04.317,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sumin Kim,Analyzing green building rating tools for healthcare buildings from the building user's perspective,2014,Indoor and Built Environment,10.1177/1420326x13480223,ORCID,only 17% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Disrupting the epistemic closed loop: re-imagining knowledge production in Islamic finance,2026,Cogent Business & Management,10.1080/23311975.2026.2658136,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Beyond the end(s) of qualitative data analysis,2026,Human Organization,10.1080/00187259.2026.2649886,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Performing faith and capital at the same time: Islamic finance as cultural artefact in Central Asia,2026,Central Asian Survey,10.1080/02634937.2026.2649292,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Ethnographic poem,2026,Journal of Postcolonial Writing,10.1080/17449855.2026.2625873,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,The ‘New global ethical order’ – or a simulacrum? Perspective from the periphery,2026,Australian Journal of International Affairs,10.1080/10357718.2025.2601132,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,An Unfinished Film: Unfinishedness as a Condition,2026,The Asia Pacific Journal of Anthropology,10.1080/14442213.2025.2567273,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Revisiting responsible innovation in the knowledge production of Islamic banking and finance,2025,Journal of Responsible Innovation,10.1080/23299460.2024.2440962,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,China’s hesitation towards Islamic finance: an anthropological reflection,2025,Development in Practice,10.1080/09614524.2025.2605174,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,The paradox of Islamic finance: how Shariah scholars reconcile religion and capitalism,2025,"Politics, Religion & Ideology",10.1080/21567689.2025.2479883,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,A mobile pedagogical framework for enhancing online teaching and learning in higher education,2023,Interactive Learning Environments,10.1080/10494820.2022.2039945,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Reconceptualising digital pedagogy during the COVID-19 pandemic: A qualitative inquiry into distance teaching in China,2023,Innovations in Education and Teaching International,10.1080/14703297.2021.2000473,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Assessing the Innovation of Mobile Pedagogy from the Teacher’s Perspective,2022,Sustainability,10.3390/su142315676,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,PEDAGOGICAL INNOVATION OR DISRUPTION: REFLECTION ON OPEN DISTANCE LEARNING IN 2020,2021,INTED2021 Proceedings,10.21125/inted.2021.1919,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Investigating pedagogical challenges of mobile technology to English teaching,2021,Interactive Learning Environments,10.1080/10494820.2021.1903933,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Technical and Individual Factors Influencing Mobile Learning in China’s Higher Education during the Outbreak of Covid-19,2021,Revista Romaneasca pentru Educatie Multidimensionala,10.18662/rrem/13.1/358,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Sunze Yu,Teachers' Perceptions on Mobile Pedagogy in China's Higher Education,2020,Proceedings of the 2020 9th International Conference on Educational and Information Technology,10.1145/3383923.3383969,ORCID,only 13% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
