university,name,year,journal_name,title,doi,classification,recommended_action,reason,evidence_url
University of Melbourne,Bo Qin,2013,Applied Mechanics and Materials,A Theory Model of the Existence Stable Measure for the Industrial Technology Innovation Strategy Alliance,10.4028/www.scientific.net/amm.401-403.2193,confirmed_false_identity,excluded_now,Industrial-engineering paper with a different Bo Qin affiliation.,https://doi.org/10.4028/www.scientific.net/amm.401-403.2193
University of Melbourne,Jon Gauntlett,2010,Philadelphia Museum of Art Bulletin,Real-time Gross Settlement in Australia,,confirmed_false_identity,excluded_now,Same title/year as the genuine RBA article but a Philadelphia Museum of Art Bulletin venue; likely OpenAlex source collision.,https://www.rba.gov.au/publications/bulletin/2010/sep/8.html
University of Melbourne,Hoonsuk Park,2017,OhioLink ETD Center,Three Essays in Household Finance,,confirmed_non_journal,excluded_now,OhioLINK record is a doctoral dissertation rather than a journal article.,https://etd.ohiolink.edu/acprod/odb_etd/etd/r/1501/10?clear=10&p10_accession_num=osu1492511169579377
University of Melbourne,Hae Won (Henny) Jung,2022,Digital Archive @ GSU,Essays on Financial Structure Managerial Compensation and the Product Market,10.57709/2808911,confirmed_non_journal,excluded_now,Digital Archive/GSU dissertation record; it is not a journal article.,https://scholarworks.gsu.edu/rmi_diss/27
University of Melbourne,Patrick Ferguson,2013,The Science of The Total Environment,Detection of pharmaceuticals and personal care products (PPCPs) in near-shore habitats of southern Lake Michigan,10.1016/j.scitotenv.2013.04.024,manual_identity_review,exclude_if_confirmed,PubMed identifies Patrick J. Ferguson at Ball State Biology; official Melbourne Patrick Ferguson is an accounting/performance scholar.,https://fbe.unimelb.edu.au/our-people/staff/accounting/patrick-ferguson
University of Melbourne,Patrick Ferguson,1983,eScholarship (California Digital Library),INVARIANT LINE STRAIN AND NEEDLE-PRECIPITATE GROWTH DIRECTIONS,,manual_identity_review,exclude_if_confirmed,Materials-science repository record; likely a namesake but leave for manual confirmation.,https://fbe.unimelb.edu.au/our-people/staff/accounting/patrick-ferguson
University of Melbourne,Flora Kuang,2024,World Journal of Education and Humanities,"Study on Paths for External Communication and Marketing Strategy of Shu Embroidery in the New Era",10.22158/wjeh.v6n5p245,confirmed_false_identity,excluded_now,Manual review confirmed that Flora Kuang has no Chengdu university affiliation; remove the paper.,https://fbe.unimelb.edu.au/our-people/staff/accounting/flora-kuang
University of Melbourne,Andrea Lu,2008,Science,"Do New Materials Make the Athlete?",10.1126/science.321.5889.626a,confirmed_false_identity,excluded_now,Manual review confirmed that the record is not plausible for Andrea Lu at that time; remove the paper.,https://fbe.unimelb.edu.au/our-people/staff/finance/andrea-lu
University of Melbourne,Attila Balogh,2024,Edelweiss Applied Science and Technology,Superapps: At the crossroads of enhanced customer experience and innovation management theories,10.55214/25768484.v8i4.1465,manual_identity_review,exclude_if_confirmed,Exact-name match exists at another institution; journal/topic do not clearly match the Melbourne finance profile.,https://fbe.unimelb.edu.au/our-people/staff/finance/attila-balogh
University of Melbourne,Eduard Inozemtsev,2025,Discrete Mathematics,"Two questions on Kneser colorings",10.1016/j.disc.2025.114842,manual_scope_review,keep_or_exclude_by_scope,Exact author match appears plausible; this is pure mathematics rather than finance.,https://fbe.unimelb.edu.au/our-people/staff/finance/eduard-inozemtsev
University of Melbourne,Ekaterina Volkova,2025,Lesnoy Zhurnal,Methods for Managing Stand Development under Clear-Cutting Operations,10.15393/j2.art.2025.8563,manual_identity_review,exclude_if_confirmed,Forestry paper has different listed authors/affiliations and likely represents a namesake.,https://doi.org/10.15393/j2.art.2025.8563
University of Melbourne,Gary Biddle,1988,The Accounting Review,Corporate Financial Disclosure (Book).,10.2308/tar-4491639,manual_policy_review,exclude_if_journal_articles_only,The title indicates a book item/review rather than a research article.,https://hub.hku.hk/handle/10722/227473
University of Melbourne,Gary Biddle,2016,The Accounting Review,"Designing for Growth: A Design Thinking Tool Kit for Managers",,manual_policy_review,exclude_if_journal_articles_only,Book review; not an original research article.,https://hub.hku.hk/handle/10722/227473
University of Melbourne,Gary Biddle,2016,The Accounting Review,"Designing for Growth: Field Book",,manual_policy_review,exclude_if_journal_articles_only,Book review; not an original research article.,https://hub.hku.hk/handle/10722/227473
University of Melbourne,Gary Biddle,2016,Dialnet,Designing for Growth: A Design Thinking Tool Kit for Managers/Designing for Growth: Field Book,,duplicate_or_book_review,exclude_if_journal_articles_only,Duplicate bibliographic book-review record from Dialnet.,https://hub.hku.hk/handle/10722/227473
University of Melbourne,Gary Biddle,2016,Dialnet,"Institutional Investor Activism: Hedge Funds and Private Equity, Economics and Regulation.",,manual_policy_review,exclude_if_journal_articles_only,Book review; not an original research article.,https://hub.hku.hk/handle/10722/227473
University of Melbourne,Jonathan Black,2017,ScholarSpace (University of Hawaii at Manoa),When are Fair Value Estimates Comparable? Evidence from the SFAS No. 157 Fair Value Hierarchy,,manual_policy_review,exclude_if_journal_articles_only,Repository/conference record without a journal DOI; keep only if conference/repository outputs are in scope.,https://scholarspace.manoa.hawaii.edu/
University of Melbourne,Stuart Black,2012,Internal Medicine News,Can Fee for Service Be Sustained?,10.1016/S1097-8690(12)70365-7,manual_scope_review,exclude_if_confirmed,Practitioner/medical venue unrelated to the current information-systems profile.,https://fbe.unimelb.edu.au/our-people/staff/accounting/stuart-black
University of Melbourne,Stuart Black,2014,The Accountant,Building your business advisory practice - practice management tips for SMPS: practice management,,confirmed_non_journal,excluded_now,Manual review confirmed this is a practitioner magazine item rather than a formal journal article.,https://www.ifac.org/who-we-are/stuart-black
University of Melbourne,Stuart Black,2013,The Accountant,Social media marketing may be the key to practice profitability,,confirmed_non_journal,excluded_now,Manual review confirmed this is a practitioner magazine item rather than a formal journal article.,https://www.ifac.org/who-we-are/stuart-black
University of Melbourne,Stuart Black,2012,Tax Professional,How to build your business advisory practice - practice management tips for SMPs: IFAC,,confirmed_non_journal,excluded_now,Manual review confirmed this is a practitioner magazine item rather than a formal journal article.,https://www.ifac.org/who-we-are/stuart-black
University of Melbourne,Stuart Black,2014,The Accountant,How accounting practices can support the globalisation of small business: SMEs,,confirmed_non_journal,excluded_now,Manual review confirmed this is a practitioner magazine item rather than a formal journal article.,https://www.ifac.org/who-we-are/stuart-black
University of Melbourne,Naomi Soderstrom,2021,,Reporting Bias and Monitoring in Clean Development Mechanism Projects,10.1111/1911-3846.12609,duplicate_review,keep_one_after_manual_dedupe,Same title/year appears with a Minerva DOI and a repository DOI; likely the same work represented twice.,https://doi.org/10.1111/1911-3846.12609
University of Melbourne,Naomi Soderstrom,2021,,Reporting Bias and Monitoring in Clean Development Mechanism Projects,10.18154/rwth-2020-11463,duplicate_review,keep_one_after_manual_dedupe,Repository version of the same title/year as the journal record; do not count twice.,https://doi.org/10.18154/rwth-2020-11463
University of Melbourne,Margaret Abernethy,1996,,Physicians and Resource Management: The Role of Accounting and Non-Accounting Controls,10.1111/j.1468-0408.1996.tb00419.x,duplicate_review,keep_one_after_manual_dedupe,Same title/year appears with two DOI variants; retain the canonical record after checking the publisher metadata.,https://doi.org/10.1111/j.1468-0408.1996.tb00419.x
University of Melbourne,Margaret Abernethy,1996,,Physicians and Resource Management: The Role of Accounting and Non-Accounting Controls,10.1111/j.1468-0408.1996.tb00184.x,duplicate_review,keep_one_after_manual_dedupe,Second DOI variant for the same title/year; likely a bibliographic duplicate rather than a second article.,https://doi.org/10.1111/j.1468-0408.1996.tb00184.x
University of Melbourne,Margaret Abernethy,1990,,Physicians and Resource Management in Hospitals: An Empirical Investigation,10.1111/j.1468-0408.1990.tb00325.x,duplicate_review,keep_one_after_manual_dedupe,Same title/year appears with two DOI variants; retain the canonical record after checking the publisher metadata.,https://doi.org/10.1111/j.1468-0408.1990.tb00325.x
University of Melbourne,Margaret Abernethy,1990,,Physicians and Resource Management in Hospitals: An Empirical Investigation,10.1111/j.1468-0408.1990.tb00096.x,duplicate_review,keep_one_after_manual_dedupe,Second DOI variant for the same title/year; likely a bibliographic duplicate rather than a second article.,https://doi.org/10.1111/j.1468-0408.1990.tb00096.x
University of Melbourne,Paul Kofman,1998,Journal of Applied Econometrics,A threshold error-correction model for intraday futures and index returns,10.1002/(sici)1099-1255(199805/06)13:3<245::aid-jae480>3.0.co;2-e,duplicate_review,keep_one_after_manual_dedupe,Two DOI variants point to the same title/year; retain the canonical DOI only.,https://doi.org/10.1002/(sici)1099-1255(199805/06)13:3<245::aid-jae480>3.0.co;2-e
University of Melbourne,Paul Kofman,1998,Journal of Applied Econometrics,A threshold error-correction model for intraday futures and index returns,10.1002/(sici)1099-1255(199805/06)13:3<245::aid-jae480>3.3.co;2-5,duplicate_review,keep_one_after_manual_dedupe,Second DOI variant for the same title/year; likely bibliographic variant rather than a second article.,https://doi.org/10.1002/(sici)1099-1255(199805/06)13:3<245::aid-jae480>3.3.co;2-5
University of Melbourne,Jun Yu,2004,,Estimation of hyperbolic diffusion using the Markov chain Monte Carlo method,10.1080/14697680400000020,duplicate_review,keep_one_after_manual_dedupe,Same title/year as another DOI record; verify whether these are journal and repository versions.,https://doi.org/10.1080/14697680400000020
University of Melbourne,Jun Yu,2004,,Estimation of hyperbolic diffusion using the Markov chain Monte Carlo method,10.1088/1469-7688/4/2/005,duplicate_review,keep_one_after_manual_dedupe,Same title/year as another DOI record; verify whether these are journal and repository versions.,https://doi.org/10.1088/1469-7688/4/2/005
University of Melbourne,Paul Kofman,2017,Monash University,Interaction Between the London and New York Stock Markets During Common Trading Hours,10.26180/5090059,duplicate_review,keep_one_after_manual_dedupe,Repository record and .v1 version should not both count as separate publications.,https://doi.org/10.26180/5090059
University of Melbourne,Paul Kofman,2017,Monash University,Interaction Between the London and New York Stock Markets During Common Trading Hours,10.26180/5090059.v1,duplicate_review,keep_one_after_manual_dedupe,Repository version suffix .v1 duplicates the same work.,https://doi.org/10.26180/5090059.v1
University of Melbourne,Sean Pinder,2017,Monash University,Market Structure and its Effects on the Pricing of Derivative Securities in Australia,10.26180/5090326,duplicate_review,keep_one_after_manual_dedupe,Repository record and .v1 version should not both count as separate publications.,https://doi.org/10.26180/5090326
University of Melbourne,Sean Pinder,2017,Monash University,Market Structure and its Effects on the Pricing of Derivative Securities in Australia,10.26180/5090326.v1,duplicate_review,keep_one_after_manual_dedupe,Repository version suffix .v1 duplicates the same work.,https://doi.org/10.26180/5090326.v1
University of Western Australia,David Gilchrist,2024,Labour History: a journal of labour and social history,Book Review: Histories of Fascism and Anti-Fascism in Australia,10.3828/labourhistory.2024.23,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2022,Australian Historical Studies,Book Review - Gypsy Economist: The Life and Times of Colin Clark: by Alex Millmow Singapore Palgrave Macmillan 2021 Pp. 396,10.1080/1031461x.2022.2051232,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2017,Evaluation Journal of Australasia,Book Review: Participatory Evaluation Up Close: An Integration of Research-Based Knowledge,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2016,Accounting History,Book Review: A History of Market Performance: From Ancient Babylonia to the Modern World,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2016,Accounting History,Book Review: GDP: A Brief But Affectionate History,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2013,Accounting History,"Book Review: Private Equity: History, Governance and Operations",,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2010,Australian Journal of Public Administration,Book Review: Accountants' Truth: Knowledge and Ethics in the Financial World,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2010,Accounting History,Book Review: Estates Enterprise and Investment at the Dawn of the Industrial Revolution,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
University of Western Australia,David Gilchrist,2009,Accounting History,Book Review: Profitability Accounting Theory and Methodology: The Selected Works of Geoffrey Whittington,,manual_policy_review,exclude_if_journal_articles_only,Journal-published book review; decide whether reviews are in scope.,https://research-repository.uwa.edu.au/en/persons/david-gilchrist/
