journal_id,journal_name,issn,eissn,quality_rank,abdc_for,abdc_match_method,abdc_match_status,abdc_list_version,impact_factor,five_year_impact_factor,jcr_year,jcr_journal_id,clarivate_match_method,clarivate_match_status,impact_factor_status,clarivate_retrieved_at,publication_count
journal-eeaf04366a3b6a39,"Accounting, Auditing and Accountability Journal",0951-3574,1368-0668,A*,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-d2a7e35b1bdacf1a,ACM SIGMIS Database the DATABASE for Advances in Information Systems,0095-0033,1532-0936,A,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-5065f563bf981156,ACR North American Advances,0098-9258,,B,3506,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-d4372f2b77c25a53,ACS Applied Materials & Interfaces,1944-8244,1944-8252,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-d21d6917ccb8f579,Adaptive Agents and Multi-Agents Systems,1548-8403,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-42d34b6e39be0953,Advanced Materials Technologies,2365-709X,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-bda68ba35e51e9c4,Advanced studies in theoretical and applied econometrics,1570-5811,2214-7977,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-288e07816d725161,Advances in Accounting,0882-6110,2590-1699,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-1f45346910433745,Advances in accounting behavioral research,1475-1488,,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,6
journal-109ed00c0b77e6fe,Advances in Accounting Behavioural Research,1474-7979,,C,3506,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-9e007d5ac67fba59,Advances in management accounting,1474-7871,,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,6
journal-4f87da6a5f1b6b32,African Journal of Paediatric Surgery,0189-6725,0974-5998,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-14adeaf6ffdbe645,Agenda,1322-1833,1447-4735,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-348f2ecd54f53869,Aging Clinical and Experimental Research,1594-0667,1720-8319,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e930ce5baf90fd7b,Aging Research,2957-8701,2957-9295,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-76663b5678eec63b,Agriculture,2077-0472,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-18e8055bc7249524,Agronomy,2073-4395,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-88159c5df86a8866,AJIS. Australasian journal of information systems/AJIS. Australian journal of information systems/Australian journal of information systems,1039-7841,1326-2238,A,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-7c8bfbdfae1644aa,Alcohol and Alcoholism,0735-0414,1464-3502,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-29f987f21a4a7743,American Economic Review,0002-8282,1944-7981,A*,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-8bc09c160996c458,American Journal of Economics and Sociology,0002-9246,1536-7150,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-bb379325104923c7,American Journal of Health Behavior,1087-3244,1945-7359,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-7c0f9fa011e63496,American Journal of Public Health,0090-0036,0271-4353,A*,3599,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-0989ad0eae3210d5,Anesthesia & Analgesia,0003-2999,1526-7598,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-2bdebbac4c54b042,Annals of Finance,1614-2446,1614-2454,B,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-74f9c09ffc94de4b,Annals of Financial Economics,2010-4952,2010-4960,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-ca8c11ed5a7b51f0,Annals of Mathematics and Artificial Intelligence,1012-2443,1573-7470,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e412d849bf243ef1,Anthropology in Action,0967-201X,1752-2285,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-58fc5d24239d1328,ANZ Journal of Surgery,1445-1433,1445-2197,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-5a1d1f248506eac3,Appetite,0195-6663,1095-8304,A,3506,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-de8cadccfa15a091,Applied Economics,0003-6846,1466-4283,A,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,7
journal-0b12536068f3cd3f,Applied Economics Letters,1350-4851,1466-4291,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,9
journal-6235e38f6a14929e,Applied Energy,0306-2619,1872-9118,A,3599,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-5841e478d54938ef,Applied Finance and Accounting,2374-2410,2374-2429,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e650cd744f63737a,Applied Finance Letters,2253-5799,,B,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-f75ad0467ec99f01,Applied Financial Economics,0960-3107,1466-4305,B,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-628592fa2ba2e2d5,Applied Mechanics and Materials,1660-9336,1662-7482,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e4eee8cb7116916e,Archives of Computational Methods in Engineering,1134-3060,1886-1784,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-b05b6644c17d4b6f,Archives of Virology,0003-9012,0304-8608,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-50024274962ac79e,Archivio istituzionale della ricerca (Alma Mater Studiorum Università di Bologna),0018-9286,1558-2523,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-8e4944f6939bbb98,arXiv (Cornell University),2331-8422,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-3c8ebd0e1fc66cd2,ASCILITE Publications,2653-665X,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-1be11ace4919f929,Asia Pacific Business Review,1360-2381,1743-792X,B,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-279d2dd1576d3006,Asia-Pacific Economic History Review,2832-157X,1467-8446,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-d1dff7481cda2908,Asia-Pacific Economic History Review,0004-8992,1467-8446,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-404f7860b8196dab,Asia-Pacific Journal of Accounting,1029-3574,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e1ae83aab1963e79,Asia-Pacific Journal of Financial Studies,2041-6156,2041-9945,B,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-fab7c092d28d4bc9,Asia-Pacific Management Accounting Journal,1675-3194,2550-1631,C,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-3d4408615e336850,Asian Review of Accounting,1321-7348,1758-8863,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,9
journal-d1ae559bc3c15214,Asian-Pacific Economic Literature,0818-9935,1467-8411,C,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-1e59228532be9745,Assessment and Evaluation in Higher Education,0260-2938,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-01e65a7fa70e72ae,Audit and Financial Analysis,2618-9828,2618-9836,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-e69c6b27a292320f,Auditing A Journal of Practice & Theory,0278-0380,1558-7991,A*,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,12
journal-423a0d8aeb7c7002,"Australasian Accounting, Business and Finance Journal",1834-2000,,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-88a84ead52d9a5de,Australasian Journal of Educational Technology,1449-5554,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-b31bd34f607b6a88,Australasian Journal of Educational Technology,1449-3098,1449-5554,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-4bbc7b8d7dd1ffa5,Australasian Journal of Information Systems,1449-8618,1326-2238,A,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-a37125e753cfb60d,Australasian Journal of Paramedicine,2202-7270,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,6
journal-62c73cf1fc2ebac3,Australian Accounting Review,1835-2561,1835-2561,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-4d22a571084b8439,Australian Accounting Review,1035-6908,1835-2561,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,18
journal-9ad1a69c0f207510,Australian Business Law Review,0310-1053,,A,4801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-3ab3d05a6270b5a0,Australian Economic Papers,0004-900X,1467-8454,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-1362ef3d82500f4f,Australian Economic Review,0004-9018,1467-8462,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,6
journal-4b00462bd5de2e74,Australian Economic Review,1467-8462,1467-8462,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-1cf10227eeda4bc2,Australian Feminist Studies,0816-4649,1465-3303,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-4c6a16a47d6ccbeb,Australian Historical Studies,1940-5049,1031-461X,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-037845ed57f6df34,Australian Journal of Corporate Law,1037-4124,,A,4801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-02b64ba0eaffd6c6,Australian Journal of Labour Economics: a journal of labour economics and labour relations,1328-1143,,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-171e7026cecedd78,Australian Journal of Management,0312-8962,1327-2020,A,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,40
journal-52999965c1fc325f,Australian Journal of Management,,,A,3502,exact normalized journal title,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-20e4ca9c912b1278,Australian Journal of Psychology,0004-9530,1742-9536,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-24dde53b51ed7078,Australian Journal of Public Administration,1467-8500,1467-8500,A,3599,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-dc0ea3f5cec3eff9,Australian Journal of Public Administration,0313-6647,1467-8500,A,3599,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-f0583f5e1778fb32,Australian Journal of Social Issues,1839-4655,1839-4655,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-db14575c22474859,Australian Journal of Social Issues,0157-6321,1839-4655,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-bd6065abc617d4c6,"Australian Tax Forum: a journal of taxation policy, law and reform",0812-695X,,A*,4801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-fb39bb0ece1ba475,Autonomous Agents and Multi-Agent Systems,1387-2532,1573-7454,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-7128ab02e3f9e59a,Behavioral Research in Accounting,1050-4753,1558-8009,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-614b6c377a224319,Behavioural Brain Research,0166-4328,1872-7549,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-6c6957ee51fbc639,Beijing Hangkong Hangtian Daxue xuebao,1001-5965,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-c5ba365e010155cb,Beijing Law Review,2159-4627,2159-4635,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-321a9360a44a3e70,Betriebswirtschaftliche Forschung und Praxis,0340-5370,,C,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-58932d8f2803c4b7,Biological Psychiatry,0006-3223,1873-2402,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-db5786650080714b,Biometrics,0006-341X,1541-0420,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-8e31fc35bc71dedd,BMC Psychology,2050-7283,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-a2bedb627c86fa25,BMC Public Health,1471-2458,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-ad954c08d6a8b263,Borsa Istanbul Review,2214-8450,2214-8469,B,3502,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-20f03e36a6a4f8b2,Bulletin of the World Health Organization,0042-9686,1564-0604,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-8922b4818a841fb1,Business & Professional Ethics Journal,0277-2027,,C,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-cf548a62a7e04e92,Business and Information Systems Engineering,2363-7005,1867-0202,A,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-9a33af457b644e2b,Business History,0007-6791,1743-7938,A*,3505,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-3365709af37585dc,Business History Review,0007-6805,,A,3505,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-f2c17b396395bad2,Business Process Management Journal,1463-7154,1758-4116,B,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-310c689781bfc87b,Business Strategy and the Environment,0964-4733,1099-0836,A,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,6
journal-4707cb5081d2b3f3,Cell Cycle,1538-4101,1551-4005,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-fe482d9fb60987ce,China Communications,1673-5447,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-b13ba24a165001c5,China Journal of Accounting Research,1755-3091,2214-1421,A,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-7770c0e313df0bd4,China Journal of Accounting Studies,2169-7213,2169-7221,B,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-af7aa8fc347fabfe,Chinese Management Accounting Review,1006-138X,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-44fb873c1d41eba7,Chinese Sociology & Anthropology,0009-4625,1558-1004,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-4019777bc991e2ac,Clinical Nuclear Medicine,0363-9762,1536-0229,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-9814721d6879a584,Clinical Therapeutics,0149-2918,1879-114X,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-09c6b9c101f7c89b,CNS Spectrums,1092-8529,2165-6509,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-18692a7e69af85fb,Cogent Business & Management,2331-1975,,C,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-4ea640fcad4b20fd,Cogent Economics & Finance,2332-2039,,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-19cf028414f8f2e6,Cognitive Science,0364-0213,1551-6709,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-ab5d852e2495e67a,Colorectal Disease,1462-8910,1463-1318,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-3d26d5a0f9847ea3,Commodities,2813-2432,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-5fe4d147f0a77623,Communications of the ACM,0001-0782,1557-7317,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-198437040afcc2f3,Communications of the Association for Information Systems,1529-3181,,A,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-b930e1a644a7c764,Communications Psychology,2731-9121,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-3107154f3d894fba,Company and Securities Law Journal,0729-2775,,A,4801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,4
journal-67bbb6b1d46929bf,Competitiveness Review An International Business Journal incorporating Journal of Global Competitiveness,1059-5422,2051-3143,C,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-b92e98d61322a2eb,Contemporary Accounting Research,0823-9150,1911-3846,A*,3501,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,16
journal-20f0a8a2b6db7ec4,Controlling,0935-0381,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-53d9680d450ac522,Corporate Board role duties and composition,1810-8601,2312-2722,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-3855aa74dece9578,Corporate Governance: An International Review,0964-8410,1467-8683,A,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,5
journal-f0cd4c548510a4d0,Corporate Governance: An International Review,1467-8683,1467-8683,A,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-cf69997c20f2bf4f,Corporate Ownership and Control,1727-9232,1810-0368,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,9
journal-22eaf95c421b910c,Corporate Social Responsibility and Environmental Management,1535-3958,1535-3966,C,3507,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-0e81240a6836c851,Corrosion Engineering Science and Technology The International Journal of Corrosion Processes and Corrosion Control,1478-422X,1743-2782,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-27ccc868b1ffdac4,Current Biology,0960-9822,1879-0445,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-ad4ecb627411c932,Current Opinion in Behavioral Sciences,2352-1546,2352-1554,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-ad553bb4ac280262,Cybernetics and Physics,2223-7038,2226-4116,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-535e3b54651410a0,Data in Brief,2352-3409,,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-9f8a0f878d886064,Decision Support Systems,0167-9236,1873-5797,A*,4609,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,3
journal-4fd6228f7024606f,Defence and Peace Economics,1024-2694,1476-8267,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-daf44a195333ec13,Demography,0070-3370,1533-7790,A,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-f29af0e9187f48e9,Digital Communications and Networks,2352-8648,2468-5925,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-baaf446f45a6c5d0,Digital Finance,2524-6984,2524-6984,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-88ae4d953d24bfe8,Discrete Dynamics in Nature and Society,1026-0226,1607-887X,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-86cb2e32c0a7a57d,Discrete Mathematics,0012-365X,1872-681X,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-49dd60cbf6995823,Drug Information Journal,0092-8615,2164-9200,,,unmatched,unmatched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,1
journal-2fcac5bcb6341647,e-Service Journal,1528-8226,1528-8234,B,3506,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
journal-fa1e09da1c1eda43,Economic Change and Restructuring,1573-9414,1574-0277,B,3801,ISSN/eISSN,matched,2025-v2-270526,,,,,not_collected,not_collected,not_collected_from_clarivate,,2
