name,title,year,journal,doi,source,screened_reason
Juan Pablo Franco,Generic properties of a computational task predict human effort and performance,2021,Journal of Mathematical Psychology,10.1016/j.jmp.2021.102592,Crossref,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Juan Pablo Franco,The neural dynamics associated with computational complexity,2022,,10.1101/2022.01.05.475102,Crossref,only 14% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Albie Brooks,Accounting: Business Reporting for Decision Making,2005,Medical Entomology and Zoology,,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,"Accounting: business reporting for decision making, 2nd ed.",2008,,,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Contemporary capital investment appraisal from a management accounting and integrated thinking perspective: Case study evidence,2015,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Management Accounting and Biodiversity,2016,Elsevier eBooks,10.1016/b978-0-12-803615-0.00022-4,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Antecedents and performance outcome of board independence: Australian evidence,2008,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Levels and Structure of CEO Remuneration: Some Australian Evidence,2017,DOAJ (DOAJ: Directory of Open Access Journals),10.20961/jab.v8i2.78,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Kilgors: A Digital Performance Management Simulation,2014,,10.2139/ssrn.2482085,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,The role of the institutional lead fund managers in the management buyout (MBO) industry in Australia: a study of prospects for the industry,1992,Victoria University Research Repository (Victoria University),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,"So, no class every week",2003,eCite Digital Repository (University of Tasmania),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,"Contemporary management accounting: measuring, motivating and managing performance",2008,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Selgae law firm,2001,,,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Student-focused problem solving in a management accounting setting,2005,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Common-measure bias and trust on performance measurement in the balanced scorecard environment,2010,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Analisis penerapan balance scorecard dan pengaruhnya terhadap kinerja pegawai di kantor akuntan publik = Implementation of balance scorecard and its influenced to the performance of employee in public accounting firm / Evanco Andreas,2016,,,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Manajemen kinerja perusahaan: implementasi metode penilaian kerja pada perusahaan kesehatan = Enterprise performance management: implementation of performance measurement tool in healthcare company,2015,,,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,List of Contributors,2016,Elsevier eBooks,10.1016/b978-0-12-803615-0.01002-5,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,Management accounting innovation and organizational learning,2002,Victoria University Research Repository (Victoria University),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Albie Brooks,A framework to investigate the effects of fairness perception of performance measurement in the balanced scorecard environment,2008,Swinburne figshare (Swinburne University of Technology),,OpenAlex,common-name OpenAlex cluster; no business-journal evidence for this row
Michael Davern,Transition to Adulthood: Delays and Unmet Needs among Adolescents and Young Adults with Asthma,2008,The Journal of Pediatrics,10.1016/j.jpeds.2007.10.004,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Disparities in Public Use Data Availability for Race, Ethnic, and Immigrant Groups",2010,Medical Care,10.1097/mlr.0b013e3181ef984e,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Are Lower Response Rates Hazardous to Your Health Survey? An Analysis of Three State Telephone Health Surveys,2010,Health Services Research,10.1111/j.1475-6773.2010.01128.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Social Networks and Economic Sociology,1997,American Journal of Economics and Sociology,10.1111/j.1536-7150.1997.tb03359.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"The Effect of Income Question Design in Health Surveys on Family Income, Poverty and Eligibility Estimates",2005,Health Services Research,10.1111/j.1475-6773.2005.00416.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,An Examination of the Medicaid Undercount in the Current Population Survey: Preliminary Results from Record Linking,2009,Health Services Research,10.1111/j.1475-6773.2008.00941.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Agreement between Self‐Reported and Administrative Race and Ethnicity Data among Medicaid Enrollees in Minnesota,2007,Health Services Research,10.1111/j.1475-6773.2007.00771.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Missing Data and Interpretation of Cancer Surgery Outcomes at the American College of Surgeons National Surgical Quality Improvement Program,2011,Journal of the American College of Surgeons,10.1016/j.jamcollsurg.2011.05.010,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Understanding The Current Population Survey's Insurance Estimates And The Medicaid ‘Undercount’,2009,Health Affairs,10.1377/hlthaff.28.6.w991,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Estimating Regression Standard Errors with Data from the Current Population Survey's Public Use File,2007,INQUIRY The Journal of Health Care Organization Provision and Financing,10.5034/inquiryjrnl_44.2.211,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Medicaid Undercount and Bias to Estimates of Uninsurance: New Estimates and Existing Evidence,2007,Health Services Research,10.1111/j.1475-6773.2007.00808.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"The Effectiveness of an Interactive Small Group Diabetes Intervention in Improving Knowledge, Feeling of Control, and Behavior",2005,Health Promotion Practice,10.1177/1524839903260846,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Validating Health Insurance Coverage Survey Estimates: A Comparison of Self-Reported Coverage and Administrative Data Records,2008,Public Opinion Quarterly,10.1093/poq/nfn013,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Are the Current Population Survey Uninsurance Estimates Too High? An Examination of the Imputation Process,2007,Health Services Research,10.1111/j.1475-6773.2007.00703.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,The American Community Survey and Health Insurance Coverage Estimates: Possibilities and Challenges for Health Policy Researchers,2008,Health Services Research,10.1111/j.1475-6773.2008.00921.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Prepaid Monetary Incentives and Data Quality in Face-to-Face Interviews,2003,Public Opinion Quarterly,10.1086/346012,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,The Role of Information and Influence in Social Networks,2006,American Journal of Economics and Sociology,10.1111/j.1536-7150.2006.00451.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Meeting the Need for State‐Level Estimates of Health Insurance Coverage: Use of State and Federal Survey Data,2006,Health Services Research,10.1111/j.1475-6773.2006.00543.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,The Prevalence of Unrecognized Tobacco Use Among Young Adults,2010,American Journal of Health Behavior,10.5993/ajhb.34.3.6,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Accuracy in Self-Reported Health Insurance Coverage among Medicaid Enrollees,2008,INQUIRY The Journal of Health Care Organization Provision and Financing,10.5034/inquiryjrnl_45.04.438,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Persistent Disparities in Health Insurance Coverage: Hispanic Children, 1996 to 2005",2008,Journal of Health Care for the Poor and Underserved,10.1353/hpu.0.0069,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Counting Uninsurance and Means‐Tested Coverage in the American Community Survey: A Comparison to the Current Population Survey,2010,Health Services Research,10.1111/j.1475-6773.2010.01193.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Monitoring the Uninsured: A State Policy Perspective,2004,Journal of Health Politics Policy and Law,10.1215/03616878-29-1-107,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,The Polls-Review: Inaccurate Age and Sex Data in the Census Pums Files: Evidence and Implications,2010,Public Opinion Quarterly,10.1093/poq/nfq033,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Estimates Of Health Insurance Coverage: Comparing State Surveys With The Current Population Survey,2007,Health Affairs,10.1377/hlthaff.26.1.269,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Mixed-mode administration reduced bias and enhanced poststratification adjustments in a health behavior survey,2007,Journal of Clinical Epidemiology,10.1016/j.jclinepi.2007.02.011,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Unstable Inferences? An Examination of Complex Survey Sample Design Adjustments Using the Current Population Survey for Health Services Research,2006,INQUIRY The Journal of Health Care Organization Provision and Financing,10.5034/inquiryjrnl_43.3.283,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Bias in Telephone Surveys That do not Sample Cell Phones,2011,Medical Care,10.1097/mlr.0b013e3182028ac7,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,A partially corrected estimate of medicaid enrollment and uninsurance: Results from an imputational model developed off linked survey and administrative data,2009,Journal of Economic and Social Measurement,10.3233/jem-2009-0324,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Social Networks and Prestige Attainment,1999,American Journal of Economics and Sociology,10.1111/j.1536-7150.1999.tb03397.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Covering Kids: Variation In Health Insurance Coverage Trends By State, 1996–2002",2004,Health Affairs,10.1377/hlthaff.23.6.170,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Complex Sample Design Effects and Health Insurance Variance Estimation,2009,Journal of Consumer Affairs,10.1111/j.1745-6606.2009.01143.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,EMPLOYMENT AND HEALTH INSURANCE COVERAGE FOR RURAL LATINO POPULATIONS,2005,Journal of Community Health,10.1007/s10900-004-1957-z,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Distributing State Children's Health Insurance Program Funds: A Critical Review of the Design and Implementation of the Funding Formula,2007,Journal of Health Politics Policy and Law,10.1215/03616878-2007-010,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,American Indian/Alaska Native Uninsurance Disparities: A Comparison of 3 Surveys,2010,American Journal of Public Health,10.2105/ajph.2009.167247,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,IPUMS-International High Precision Population Census Microdata Samples: Balancing the Privacy-Quality Tradeoff by Means of Restricted Access Extracts,2006,Lecture notes in computer science,10.1007/11930242_31,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Using Auxiliary Sample Frame Information for Optimum Sampling of Rare Populations,2015,Journal of Official Statistics,10.1515/jos-2015-0034,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Are Surname Telephone Oversamples an Efficient Way to Better Understand the Health and Healthcare of Minority Group Members?,2007,Medical Care,10.1097/mlr.0b013e3181271450,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,The Polls--Review,2003,Public Opinion Quarterly,10.1086/379088,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Drawing statistical inferences from historical census data, 1850–1950",2009,Demography,10.1353/dem.0.0062,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Medicaid Under-reporting in the Current Population Survey and One Approach for a Partial Correction,2007,,,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"State Variation in SCHIP Allocations: How Much is There, What are its Sources, and Can it Be Reduced?",2003,INQUIRY The Journal of Health Care Organization Provision and Financing,10.5034/inquiryjrnl_40.2.184,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Telephone Service Interruption Weighting Adjustments for State Health Insurance Surveys,2004,INQUIRY The Journal of Health Care Organization Provision and Financing,10.1177/004695800404100305,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Drawing Statistical Inferences from International Census Data,2011,Institute for Social Research and Data Innovation,10.18128/mpc2011-01,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,How similar are different sources of CHIP enrollment data?,2011,Journal of Economic and Social Measurement,10.3233/jem-2011-0345,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Measuring Adequacy of Coverage for the Privately Insured,2009,Medical Care Research and Review,10.1177/1077558708330426,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,How Does Medicaid‐Managed Care Impact Reporting of Medicaid Status?,2010,Health Services Research,10.1111/j.1475-6773.2010.01133.x,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Trends in Employee Wage and Health Insurance Compensation for Employer-Sponsored Health Insurance (ESI) Coverage,2009,Journal of Labor Research,10.1007/s12122-009-9071-8,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Disparities in Public Use Data Availability for Race, Ethnic, and Immigrant Groups",2010,University Libraries (University of Maryland),10.13016/h3ie-xxhq,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Nonresponse Rates are a Problematic Indicator of Nonresponse Bias in Survey Research,2013,Health Services Research,10.1111/1475-6773.12070,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Inaccurate Age and Sex Data in the Census PUMS Files: Evidence and Implications,2010,,10.2139/ssrn.1546969,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Inaccurate age and sex data in the Census PUMS files: Evidence and Implications,2010,,10.3386/w15703,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,State variation in SCHIP allocations,2003,Inquiry Critical Thinking Across the Disciplines,,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Validating Health Insurance Coverage Survey Estimates: A Comparison of Self-Reported Coverage and Administrative Data Records,2009,,,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Telephone Service Interruption Weighting Adjustments for State Health Insurance Surveys,2004,INQUIRY The Journal of Health Care Organization Provision and Financing,10.5034/inquiryjrnl_41.3.280,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Social Networks and Television Manager Turnover, 1997: [United States]",1999,ICPSR Data Holdings,10.3886/icpsr02650,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Merging Survey Data with Administrative Data for Health Research Purposes,2014,Health Survey Methods,10.1002/9781118594629.ch27,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,AmericanIndian/AlaskaNativeUninsuranceDisparities: AComparisonof3Surveys,2010,,,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,Methods for Patient Matching in Patient-Centered Outcomes Research.,2014,AMIA,,OpenAlex,reviewed US public-health researcher namesake publication
Michael Davern,"Social Networks and Television Manager Turnover, 1997: [United States]",1999,ICPSR Data Holdings,10.3886/icpsr02650.v1,OpenAlex,reviewed US public-health researcher namesake publication
Stefan Schantl,Machine Learning Assisted Visible Light Sensing of the Rotation of a Robotic Arm,2021,IEEE Access,10.1109/access.2021.3112297,OpenAlex,reviewed namesake publication outside Accounting/Finance
Qingbo Yuan,Lab-on-PCB-based micro-cytometer for circulating tumor cells detection and enumeration,2017,Microfluidics and Nanofluidics,10.1007/s10404-017-1854-2,OpenAlex,reviewed namesake publication outside Accounting/Finance
Elizabeth Bowman,RNA Polymerase II transcription elongation and Pol II CTD Ser2 phosphorylation,2014,Nucleus,10.4161/nucl.29347,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Air1 Zinc Knuckles 4 and 5 and a Conserved IWRXY Motif Are Critical for the Function and Integrity of the Trf4/5-Air1/2-Mtr4 Polyadenylation (TRAMP) RNA Quality Control Complex,2011,Journal of Biological Chemistry,10.1074/jbc.m111.271494,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Insulin/IGF Signaling and Vitellogenin Provisioning Mediate Intergenerational Adaptation to Nutrient Stress,2019,Current Biology,10.1016/j.cub.2019.05.062,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,An Integrated Developmental Perspective on Insight.,2007,American Psychological Association eBooks,10.1037/11532-019,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"""Socialist Morality"" in Sartre's Unpublished 1964 Rome Lecture: A Summary and Commentary",1992,Journal of French and Francophone Philosophy,10.5195/jffp.1992.55,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Phosphorylation of RNA polymerase II is independent of P-TEFb in the C. elegans germline,2013,Development,10.1242/dev.095778,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Exploring Symmetry as an Avenue to the Computational Design of Large Protein Domains,2011,Journal of the American Chemical Society,10.1021/ja2051217,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"Insight in Psychotherapy: Definitions, Processes, Consequences, and Research Directions.",2007,American Psychological Association eBooks,10.1037/11532-021,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Longitudinal Changes in White Matter Fractional Anisotropy in Adult-Onset Niemann-Pick Disease Type C Patients Treated with Miglustat,2017,JIMD Reports,10.1007/8904_2017_42,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Dimeric samarium(III) alkoxides bearing N2O2 tetradentate Schiff bases and their utility for the catalytic epoxidation of trans-chalcone,2004,Journal of Organometallic Chemistry,10.1016/j.jorganchem.2004.11.011,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Amino Acid Substitutions in the Caenorhabditis elegans RNA Polymerase II Large Subunit AMA-1/RPB-1 that Result in α-Amanitin Resistance and/or Reduced Function,2011,G3 Genes Genomes Genetics,10.1534/g3.111.000968,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,1968 as a Precedent for Revolt Against Globalization,2001,Radical Philosophy Today,10.5840/radphiltoday2001219,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Exploring Symmetry as an Avenue to the Computational Design of Large Protein Domains,2011,Journal of the American Chemical Society,10.1021/ja210593m,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Computational Complexity and Asset Pricing,2019,,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Reading Sartre's Second Ethics,2023,Lexington Books,10.5771/9781793646521,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"Resource Allocation, Computational Complexity, and Market Design",2023,,10.2139/ssrn.4620799,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Hierarchical Decomposition of Multifocal Visual Evoked Potential Responses to Dichoptic Contrast Reversing and Temporally Sparse Stimuli,2003,Investigative Ophthalmology & Visual Science,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Contrast Responses of Dichoptic Multifocal Visual Evoked Potential Responses to Contrast Reversing and Temporally Sparse Stimuli,2004,Investigative Ophthalmology & Visual Science,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Effect of Presentation Rate and Pulse Duration on the Pattern-pulse Multifocal Visual Evoked Potential (PPMVEP),2003,Investigative Ophthalmology & Visual Science,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"Thanks to BHL, France Rediscovers Her Hated Sartre",2002,Sartre Studies International,10.3167/135715502781825055,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Book review: Mechanisms of Character Formation.,1917,Journal of Applied Psychology,10.1037/h0075412,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,Is NATO A Killer Cop?,1999,Radical Philosophy Review,10.5840/radphilrev1999216,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,"The Harrison County Board of Education held a regular meeting on Tuesday, February 19, 2008, at the Harrison County Schools Board Office, 408 E. B. Saunders Way, Clarksburg, WV. Members of the board present were:",2008,,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
Elizabeth Bowman,ORIGINAL RESEARCH Size and Shape of the Corpus Callosum in Adult Niemann-Pick Type C Reflects State and Trait Illness Variables,2011,,,OpenAlex,only 3% of this researcher's retrieved journal articles are in an ABDC-rated journal; the identifier probably belongs to a namesake
