journal_name,journal_raw,publisher,issn,quality_rank,abdc_edition,impact_factor,impact_factor_5yr,jcr_year,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_year
Econometrics and Statistics,Econometrics and Statistics,Elsevier BV,2452-3062; 2468-0389,B,2025,3.0,2.4,2025,1.28,Q1,22,2.2,2025
European Journal of Health Economics,The European Journal of Health Economics,Springer Science+Business Media,1439-3972; 1439-6637; 1618-7598; 1618-7601,A,2025,3.1,4.1,2025,1.062,Q1,75,3.31,2025
Information & Management,Information & Management,Elsevier BV,0378-7206; 1872-7530,A*,2025,7.0,10.9,2025,2.22,Q1,214,9.19,2025
Communications of the Association for Information Systems,Communications of the Association for Information Systems,Association for Information Systems,1529-3181,A,2025,2.6,2.6,2025,0.816,Q2,70,3.5,2025
International Journal of Electronic Commerce,International Journal of Electronic Commerce,Taylor & Francis,1086-4415; 1557-9301,A,2025,5.7,6.5,2025,1.028,Q1,104,4.16,2025
Data Base for Advances in Information Systems,ACM SIGMIS Database the DATABASE for Advances in Information Systems,Association for Computing Machinery,0095-0033; 1532-0936; 2331-1584; 2331-1622,A,2025,1.7,2.6,2025,0.433,Q2,73,2.38,2025
Journal of the Association for Information Systems,Journal of the Association for Information Systems,Association for Information Systems,1536-9323,A*,2025,7.5,9.3,2025,2.577,Q1,117,8.63,2025
Journal of Computer Information Systems,Journal of Computer Information Systems,Taylor & Francis,0887-4417; 2380-2057,A,2025,6.6,4.7,2025,0.978,Q1,89,6.71,2025
Journal of the American Society for Information Science and Technology,Journal of the American Society for Information Science and Technology,Wiley,1532-2882; 1532-2890,,,,,,,,,,
Asia-Pacific Journal of Accounting and Economics,Asia-Pacific Journal of Accounting & Economics,Taylor & Francis,1608-1625; 2164-2257,B,2025,2.1,1.8,2025,0.459,Q2,33,2.39,2025
Australasian Journal of Information Systems,AJIS. Australasian journal of information systems/AJIS. Australian journal of information systems/Australian journal of information systems,Australasian Association for Information Systems,1039-7841; 1326-2238; 1449-8618,A,2025,1.4,2.4,2025,0.468,Q2,37,2.16,2025
Journal of Finance and Banking,Journal of Finance and Banking,,2227-541X,,,,,,,,,,
Third Sector Review,Third Sector Review,,1323-9163; 1839-5937,C,2025,,,,,,,,
