title,doi,reason
"Manager Narcissism, Target Difficulty, and Employee Dysfunctional Behavior",,no DOI recorded
Carbon Accounting Tools and Activities: Responding to Multiple Interacting Logics in Carbon Management,,no DOI recorded
"Impact of Interactive and Diagnostic Uses of Performance Measurement Systems on Procedural Fairness Perception, Cooperation, and Performance in Supply Alliances",,no DOI recorded
Risk Management in Local Authorities: A Application of Schatzki's Social Site Ontology,,no DOI recorded
Strategizing in the Midst of Management Controls: A Longitudinal Case Study on The Relationship between Management Controls and Promises on Strategies,,no DOI recorded
"Strategizing in the Midst of Management Controls: A Longitudinal Case Study on The Relationship between Management Controls and Promises on Strategies, Global Management Accounting Research Symposium (GMARS), University of New South Wales, Sydney",,no DOI recorded
"Experimenting with Risks and Management Control Systems in Inter-firm Alliances, Accounting and Finance Association of Australia and New Zealand (AFAANZ), Gold Coast",,no DOI recorded
"· Experimenting with Risks and Management Control Systems in Inter-firm Alliances, Global Management Accounting Research Symposium (GMARS), Michigan State University",,no DOI recorded
Performance measurement systems design choice: The roles of political connection and social networking on firm performance - Evidence from China,,no DOI recorded
The effect of ethical commitment reminder and reciprocity in the workplace on misreporting,,no DOI recorded
"The effect of non-financial performance measures, organisational politics and political skill on job performance: Evidence from China",,no DOI recorded
"The effect of negotiators’ role, leadership tone and social value orientation on expected transfer prices: Additional evidence",,no DOI recorded
External auditors’ reliance on management’s experts: The effects of an early stage conversation and past auditor-client relationship,,no DOI recorded
Delegation of decision rights and misreporting: The roles of incentive-based compensation schemes and responsibility rationalization,,no DOI recorded
The effects of tone at the top and coordination with external auditors on internal auditors’ assessments of the likelihood of financial misstatements,,no DOI recorded
"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",,no DOI recorded
Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,,no DOI recorded
"The opioid crisis, employee health capital, and corporate information production",,no DOI recorded
External labor market competitions and stock price crash risk: Evidence from exposures to competitor CEOs’ award-winning events,,no DOI recorded
Cross-country diversity and non-IFRS financial performance measures,,no DOI recorded
Strategic trading by insiders in the presence of institutional investors,,no DOI recorded
The usefulness of financial advisors to government controlled Chinese acquirers,,no DOI recorded
Transparency in fragmented markets: Experimental Evidence,,no DOI recorded
Supply chain management disclosure: practice and perspectives,,no DOI recorded
The effect of short selling on volatility and jumps,,no DOI recorded
The state of executive remuneration disclosure in Australia,,no DOI recorded
Busy directors and firm performance: a replication and extension of Hauser,,no DOI recorded
Busy directors and firm performance: Evidence from Australia mergers,,no DOI recorded
Corporate governance analysts and firm value: Australian evidence,,no DOI recorded
The role of implied volatility in liquidity provision,,no DOI recorded
Responsible science: Celebrating the 50-year legacy of Ball and Brown (1968) using a registration-based framework,,no DOI recorded
The role of credibility in the relation between management forecasts and analyst forecasts in Japan,,no DOI recorded
Non-financial performance indicators in annual reports: Australian practice,,no DOI recorded
The impact of Ball and Brown (1968) on generations of research,,no DOI recorded
A review of research on regulation changes in the Asia-Pacific region,,no DOI recorded
The role of algorithmic trading in stock liquidity and commonality in electronic limit order markets,,no DOI recorded
Media sentiment and trading strategies of different types of traders,,no DOI recorded
IFRS non-GAAP earnings disclosures and fair value measurement,,no DOI recorded
The effect of voluntary versus mandatory adoption of trading policies on the returns to insider trades,,no DOI recorded
Pinning down an effective measure for probability of informed trading,,no DOI recorded
The evolution of informed liquidity provision and consumption: evidence from an order-driven market,,no DOI recorded
Presentation format and financial literacy: Accessibility and assessability of retirement savings statements,,no DOI recorded
How does investor relations affect analyst forecasts?,,no DOI recorded
"Disclosure incentives, mandatory standards and firm communication in the IFRS adoption setting",,no DOI recorded
IFRS Adoption and analysts’ earnings forecasts: Australian evidence,,no DOI recorded
"Order size, order imbalance and the volume-volatility relation in a bull versus bear market",,no DOI recorded
Does disclosure quality via investor relations affect information asymmetry?,,no DOI recorded
The impact of the internet on earnings announcements,,no DOI recorded
AASB Research Report 8: Literature review – Remuneration Reporting,,no DOI recorded
Non-financial performance: Are your non-financial KPIs useful?,,no DOI recorded
"Factors Affecting Preparers' and Auditors' Judgements about Materiality and Conciseness in Integrated Reporting, 2016",,no DOI recorded
"Global Integrated Reporting Still Has Room for Improvement, 2017",,no DOI recorded
The geography of corporate tax avoidance,,no DOI recorded
The influence of institutional differences on control mechanisms in alliances,,no DOI recorded
"Tax-Loss Selling, Corporate Shareholdings and the (Mis)pricing of Information Asymmetry",,no DOI recorded
Shocks to CEO Political Alignment and Corporate Social Responsibility: Evidence from the 2008 and 2016 Presidential Elections,,no DOI recorded
"Investor protection, aggregate changes in profit margins and forecasts of growth in GDP: international evidence",,no DOI recorded
The SEC Compensation-related comment Letters and Excess CEO Compensation,,no DOI recorded
Manager equity based compensation and cash flow forecasts,,no DOI recorded
"Aggregate accounting earnings, special items and growth in Gross Domestic Product: Evidence from Australia",,no DOI recorded
In Name only: Information Spillovers among Chinese Firms with Similar Stock Names during Earnings Announcements,,no DOI recorded
"Accruals Quality, Stock Return Seasonality and the Cost of Equity Capital: International Evidence",,no DOI recorded
Does the accruals quality premium arise from information risk?,,no DOI recorded
"The Impact of Environmental, Social and Governance Disclosure on Firm Value: The Role of CEO Power",,no DOI recorded
The impact of board gender composition on corporate debt maturity structures,,no DOI recorded
Noncompliance with Non-Accounting Securities Regulations and GAAP Violations,,no DOI recorded
The geography of corporate tax avoidance,,no DOI recorded
How Does Product Market Competition Affect Disclosure of Management Forecasts: Evidence from China Imports,,no DOI recorded
How Does Audit Quality Affect Firm Innovation? Evidence from China,,no DOI recorded
"Does Media Coverage Help Firms ""Lobby"" for Government Subsidies? Evidence from China",,no DOI recorded
When Are Pay Gaps Good or Bad for Firm Performance? Evidence from China,,no DOI recorded
Military Top Executives and Corporate Philanthropy: Evidence from China,,no DOI recorded
Corporate Credit Risk Premia ( internet appendix ),,no DOI recorded
How Subprime Borrowers and Mortgage Brokers Shared the Pie,,no DOI recorded
A Credit Spread Puzzle for Reduced-Form Models ( internet appendix ),,no DOI recorded
"Monetary Policy, Bond Returns and Debt Dynamics ( internet appendix )",,no DOI recorded
Do Equity Markets Favor Credit Market News Over Options Market News?,,no DOI recorded
How Does the U.S. Government Finance Fiscal Shocks?,,no DOI recorded
On Correlation and Default Clustering in Credit Markets,,no DOI recorded
Decomposing European CDS Returns,,no DOI recorded
Moral Hazard and Adverse Selection in the Originate-to-Distribute Model of Bank Credit,,no DOI recorded
Restructuring Risk in Credit Default Swaps: An Empirical Analysis,,no DOI recorded
The Pitfalls of Originate-to-Distribute in Bank Lending,,no DOI recorded
Australian Evidence Regarding the Value-Relevance of Technical Information,,no DOI recorded
Fundamental and Technical Analysis: Substitutes or Complements?,,no DOI recorded
Momentum Profits in the Australian Equity Market: A Matched Firm Approach,,no DOI recorded
The Impact of Liquidity and Transaction Costs on the 52-Week High Momentum Strategy in Australia,,no DOI recorded
The Economic Significance of Trading Based on the Size Effect in Australia,,no DOI recorded
Exploring the Asset Growth Effect in the Australian Equity Market,,no DOI recorded
The underpricing and long-term performance of Chinese IPOs listed on the Hong Kong Exchange,,no DOI recorded
Creating value by changing the old guard: The impact of controlling shareholder heterogeneity on firm performance and corporate policies,,no DOI recorded
A skew is a skill: Portfolio skewness of mutual fund holdings,,no DOI recorded
"A portfolio-level, sum-of-the-parts approach to return predictability",,no DOI recorded
Dividend hibernation and future earnings: When no dividend news is good news,,no DOI recorded
A review of the return-illiquidity relationship,,no DOI recorded
Company responses to exchange queries in real time,,no DOI recorded
The intraday impact of company responses to exchange queries,,no DOI recorded
Fund Selection and Style Allocation Abilities: Evidence from Funds of Hedge Funds’ Holdings,,no DOI recorded
Anticipating Uncertainty: Straddles Around Earnings Announcements,,no DOI recorded
Investment Performance of Credit Risk Transfer Securities (CRTs): The Early Evidence,,no DOI recorded
Electoral Accountability and Selection with Personalized Information Aggregation,,no DOI recorded
The Politics of News Personalization,,no DOI recorded
Competition and Distortion: A Theory of Information Bias on the Peer-to-Peer Lending Market,,no DOI recorded
Insider trading footprints: An empirical look at detected cases in Australia,,no DOI recorded
"A portfolio-level, sum-of-the-parts approach to return predictability",,no DOI recorded
Strategic Insider Trading around Earnings Announcements in Australia,,no DOI recorded
Independently Certiﬁed Industry-speciﬁc Disclosures to the Capital Market: The JORC Code in the Australian Mining Industry,,no DOI recorded
Know your industry: The Implications of using Static Classifications in Financial Research,,no DOI recorded
Adoption of International Financial Reporting Standards and the Cost of Adverse Selection,,no DOI recorded
Insider Trading in Australia: Contrarianism and Future Performance,,no DOI recorded
Merging Time-Series Australian Data Across Databases: Challenges and Solutions,,no DOI recorded
"Assisting capital formation through credible, independently-certified industry-specific disclosures, based on the JORC Code",,no DOI recorded
Private Equity Coming Out of the Dark: The Motivations Behind Private Equity Activity in Australia,,no DOI recorded
The Preferences of Private Equity investors in Selecting Target Acquisitions: An International Investigation,,no DOI recorded
Firm Lobbying and IFRS 8 Operating Segments,,no DOI recorded
Local Bankruptcy and Geographic Contagion in the Bank Loan Market,,no DOI recorded
Does risk of shareholder litigation affect corporate information environments?,,no DOI recorded
"Local Information Environment and Accounting Fraud (Jens Hagendorff, Nhan Le, Duc Duy Nguyen), R&R on Journal of Money",,no DOI recorded
Proximity to Local Bank Branches,,no DOI recorded
"Privatization, Distortions",,no DOI recorded
