researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,abdc_self_reported,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Improving the attractiveness of CDM projects through allowing and incorporating options,Energy Policy,2015,Journal articles,10.1016/j.enpol.2015.08.024,http://dx.doi.org/10.1016/j.enpol.2015.08.024,Carmichael DG; Ballouz JJ; Balatbat MCA,3,86,pp. 784 - 791,,,0.95720685,UNSW staff profile,True,14,5.4432,0301-4215,W2173059774
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The impact of litigation risk on the strategic timing of management earnings forecasts,Accounting and Finance,2015,Journal articles,10.1111/acfi.12065,http://dx.doi.org/10.1111/acfi.12065,Jackson AB; Gallery G; Balatbat MCA,3,55,pp. 467 - 495,,,0.95559377,UNSW staff profile,True,17,4.8931,0810-5391,W3125532449
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review of Building/Infrastructure Sustainability Reporting Tools (SRTs),Smart and Sustainable Built Environment,2013,Journal articles,10.1108/SASBE-03-2013-0010,http://dx.doi.org/10.1108/SASBE-03-2013-0010,Siew RYJ; Balatbat MCA; Carmichael DG,3,2,pp. 106 - 139,,,0.98320277,UNSW staff profile,True,104,10.7001,2046-6099,W1997394367
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Relationship between Sustainability Practices and Financial Performance of Construction Companies,Smart and Sustainable Built Environment,2013,Journal articles,10.1108/20466091311325827,http://dx.doi.org/10.1108/20466091311325827,Siew RYJ; Balatbat MCA; Carmichael DG,3,2,pp. 6 - 27,,,0.97986104,UNSW staff profile,True,146,9.8198,2046-6099,W2058712972
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Does consideration matter to China’s split share structure reform?,Accounting and Finance,2012,Journal articles,10.1111/j.1467-629X.2011.00400.x,http://dx.doi.org/10.1111/j.1467-629X.2011.00400.x,Balatbat MC; Czernkowski R; Lu F,3,52,pp. 439 - 466,,,0.90571313,UNSW staff profile,True,8,2.123,0810-5391,W2110180296
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Performance Risk Associated with Renewable Energy CDM Projects,Journal of Management in Engineering,2012,Journal articles,10.1061/(ASCE)ME.1943-5479.0000090,http://dx.doi.org/10.1061/(ASCE)ME.1943-5479.0000090,Balatbat MC; Findlay E; Carmichael DG,3,28,pp. 51 - 58,,,0.69685039,UNSW staff profile,False,12,0.3906,0742-597X,W1971941791
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Management Efficiency Performance of Construction Businesses – Australian Data,"Engineering, Construction and Architectural Management",2011,Journal articles,10.1108/09699981111111120,http://dx.doi.org/10.1108/09699981111111120,Balatbat MCA; Lin C; Carmichael DG,3,18,pp. 140 - 158,,,0.89034545,UNSW staff profile,False,22,2.6277,0969-9988,W1976539485
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,On the Analysis of Property Unit Sales over Time,International Journal of Strategic Property Management,2011,Journal articles,10.3846/1648715X.2011.631765,http://dx.doi.org/10.3846/1648715X.2011.631765,Carmichael DG; Balatbat MCA,2,15,pp. 329 - 339,,,0.8673009,UNSW staff profile,False,1,1.0592,1648-715X,W2002443736
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Australian Construction Growth Ratios: Industry and Company Analyses,The International Journal of Construction Management,2010,Journal articles,10.1080/15623599.2010.10773153,http://dx.doi.org/10.1080/15623599.2010.10773153,Balatbat MCA; Lin C; Carmichael DG,3,10,pp. 23 - 43,,,0.22284191,UNSW staff profile,False,1,0.0,1562-3599,W1971605593
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Comparative Performance of Publicly Listed Construction Companies: Australian Evidence,Construction Management and Economics,2010,Journal articles,10.1080/01446193.2010.501805,http://dx.doi.org/10.1080/01446193.2010.501805,Balatbat MCA; Lin C; Carmichael DG,3,28,pp. 919 - 932,,,0.96171536,UNSW staff profile,True,35,6.8634,0144-6193,W1992063459
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Contractor's Analysis of the Likelihood of Payment of Claims,Journal of Financial management of property and construction,2010,Journal articles,10.1108/13664381011063412,http://dx.doi.org/10.1108/13664381011063412,Carmichael DG; Balatbat MCA,2,15,pp. 102 - 117,,,0.90818122,UNSW staff profile,True,19,2.8104,1366-4387,W2098031494
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Review and Study of Project Investment Cash Flow Correlations,International Journal of Project Planning and Finance,2010,Journal articles,,http://www.cidighana.org/pages/index.php?siteid=cidighana&page=current-issue,Carmichael DG; Balatbat MCA,2,1,pp. 1 - 21,,,,UNSW staff profile,,,,,
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,A Study of Correlation Aspects in Probabilistic NPV Analysis,The Engineering Economist,2010,Journal articles,10.1080/0013791x.2010.481185,http://dx.doi.org/10.1080/0013791x.2010.481185,Johar K; Carmichael DG; Balatbat MCA,3,55,pp. 181 - 199,,,0.79426875,UNSW staff profile,False,15,1.051,0013-791X,W1968788724
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Use of proceeds disclosures in IPO prospectuses:  do issuers come clean?,JASSA - Journal of the Securities Institute of Australia,2008,Journal articles,,,Balatbat MC; Bertinshaw ST,2,2,pp. 17 - 21,,,,UNSW staff profile,,,,,
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Probabilistic DCF Analysis and Capital Budgeting and Investment - A Survey,The Engineering Economist,2008,Journal articles,10.1080/00137910701864809,http://dx.doi.org/10.1080/00137910701864809,Carmichael DG; Balatbat MC,2,53,pp. 84 - 102,,,0.93256961,UNSW staff profile,True,41,3.5845,0013-791X,W2050967503
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,The Influence of extra projects on overall investment feasibility,Journal of Financial Management of Property and Construction,2008,Journal articles,10.1108/13664380810913403,http://dx.doi.org/10.1108/13664380810913403,Carmichael DG; Balatbat MCA,2,13,pp. 161 - 174,,,0.88517227,UNSW staff profile,False,10,1.9681,1366-4387,W2030778456
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Discussion of explaining the short- and long-term IPO anomalies in the US by R&D,Journal of Business Finance and Accounting,2006,Journal articles,10.1111/j.1468-5957.2006.00610.x,http://dx.doi.org/10.1111/j.1468-5957.2006.00610.x,Balatbat MC,1,33,pp. 580 - 586,,,0.98489355,UNSW staff profile,True,157,14.8225,0306-686X,W3121960889
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,Discussion of Explaining the Short- and Long-Term IPO Anomalies in the US by R&D,"Journal of Business Finance <html_ent glyph=""@amp;"" ascii=""&amp;""/> Accounting",2006,Journal articles,10.1111/j.1468-5957.2006.00021.x,http://dx.doi.org/10.1111/j.1468-5957.2006.00021.x,Balatbat MCA,1,,pp. 060428035417005 - 060428035417005,,,,UNSW staff profile,,0,,0306-686X,W4240029471
Maria Balatbat,https://www.unsw.edu.au/staff/maria-balatbat,UNSW Sydney,Accounting,"Corporate Governance, Insider Ownership and Operating Performance of Australian Initial Public Offerings",Accounting and Finance,2004,Journal articles,10.1111/j.1467-629X.2004.00114.x,http://dx.doi.org/10.1111/j.1467-629X.2004.00114.x,Balatbat MC; Taylor SL; Walter TS,3,44,pp. 299 - 328,,,0.95311955,UNSW staff profile,True,136,4.682,0810-5391,W2113990060
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Model comparison with sharpe ratios,Journal of Financial and Quantitative Analysis,2020,Journal articles,10.1017/S0022109019000589,http://dx.doi.org/10.1017/S0022109019000589,Barillas F; Kan R; Robotti C; Shanken J,4,55,pp. 1840 - 1874,,,0.99227973,UNSW staff profile,True,158,14.3206,0022-1090,W3125209868
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Speculation and the bond market: An empirical no-arbitrage framework,Management Science,2019,Journal articles,10.1287/mnsc.2018.3027,http://dx.doi.org/10.1287/mnsc.2018.3027,Barillas F; Nimark K,2,65,pp. 4179 - 4203,,,0.73455902,UNSW staff profile,False,2,0.5487,0025-1909,W3122553496
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Comparing Asset Pricing Models,Journal of Finance,2018,Journal articles,10.1111/jofi.12607,http://dx.doi.org/10.1111/jofi.12607,Barillas F; Shanken J,2,73,pp. 715 - 754,,,0.99960043,UNSW staff profile,True,484,54.8343,0022-1082,W2795848635
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Speculation and the term structure of interest rates,Review of Financial Studies,2017,Journal articles,10.1093/rfs/hhx059,http://dx.doi.org/10.1093/rfs/hhx059,Barillas F; Nimark KP,2,30,pp. 4003 - 4037,,,0.87624333,UNSW staff profile,False,20,1.8594,0893-9454,W3123724866
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Which alpha?,Review of Financial Studies,2017,Journal articles,10.1093/rfs/hhw101,http://dx.doi.org/10.1093/rfs/hhw101,Barillas F; Shanken J,2,30,pp. 1316 - 1338,,,0.9984509,UNSW staff profile,True,370,34.823,0893-9454,W4253208548
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Doubts or variability?,Journal of Economic Theory,2009,Journal articles,10.1016/j.jet.2008.11.014,http://dx.doi.org/10.1016/j.jet.2008.11.014,Barillas F; Hansen LP; Sargent TJ,3,144,pp. 2388 - 2418,,,0.96859903,UNSW staff profile,True,175,6.2129,0022-0531,W2110802648
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,A generalization of the endogenous grid method,Journal of Economic Dynamics and Control,2007,Journal articles,10.1016/j.jedc.2006.08.005,http://dx.doi.org/10.1016/j.jedc.2006.08.005,Barillas F; Fernández-Villaverde J,2,31,pp. 2698 - 2712,,,0.96868508,UNSW staff profile,True,113,8.4815,0165-1889,W2019784037
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,Recent developments in the Canada-US unemployment rate gap: Changing patterns in unemployment incidence and duration,Canadian Public Policy,2005,Journal articles,10.2307/3552599,http://dx.doi.org/10.2307/3552599,Macklem T; Barillas F,2,31,pp. 101 - 107,,,0.14637486,UNSW staff profile,False,6,0.0,0317-0861,W2045884915
Francisco Barillas Bedoya,https://www.unsw.edu.au/staff/francisco-barillas-bedoya,UNSW Sydney,Finance,"Foreign aid, poverty reduction, and democracy",Applied Economics,2002,Journal articles,10.1080/00036840210136718,http://dx.doi.org/10.1080/00036840210136718,Arvin BM; Barillas F,2,34,pp. 2151 - 2156,,,0.2979678,UNSW staff profile,False,68,0.0,0003-6846,W2059804573
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Can Death Concession Rule Maintain Eternal Pre-CGT Asset Status for Entity Owned Assets?,AUSTRALIAN TAX REVIEW,2025,Journal articles,,,Boccabella D,1,54,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Capital payment in place of dividend issue in Ierna case: Selected observations,Weekly Tax Bulletin,2024,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Discretionary trust income allocations: Can ATO successfully challenge exercise of trustee’s discretion?,Weekly Tax Bulletin,2024,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Ierna case restructure: Was the Division 615 rollover really available?,Weekly Tax Bulletin,2024,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Streaming of partnership receipts to partners: An initial contribution,The Tax Specialist,2024,Journal articles,10.3316/informit.T2024042600008892121589371,https://search.informit.org/doi/10.3316/informit.T2024042600008892121589371,Boccabella D,1,27,pp. 146 - 152,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Burton case (only 50% foreign income tax offset) presents challenge for assessable income limb of the GAAR,Weekly Tax Bulletin,2023,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,COVID-19 pandemic and working at home: Reminder to query ATO statements denying home occupancy expense claims,Weekly Tax Bulletin,2023,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Clough case re payout of employee entitlements on takeover of employer: Analysis questionable on 2 fronts,Weekly Tax Bulletin,2023,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Deduction for loss on sale of owner-occupied dwelling in Bowerman: Where to from here?,Weekly Tax Bulletin,2023,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Reviewing Burton: Has the Australia-U.S. Tax Treaty’s FTC Article Failed to Deliver?,Tax Notes International,2023,Journal articles,,,Boccabella D,1,111,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Section 100A does not apply where under 18-year old beneficiary is entitled: Another mystery surrounding discretionary trusts?,Weekly Tax Bulletin,2023,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"Although 36 years late, repeal of s 82A better late than never",Weekly Tax Bulletin,2022,Journal articles,,https://anzlaw.thomsonreuters.com/Document/Iec0d02c3857b11ec831a9b63d4a99eb9/View/FullText.html?transitionType=Default&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Australia’s denial of depreciation deductions for second-hand assets used in residential rental properties: Rationales appear obscure,Australian Tax Forum,2022,Journal articles,,,Boccabella D,1,37,pp. 165 - 189,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Is deduction denial a viable policy for persistent and sector wide overclaiming of selected expenses?,Weekly Tax Bulletin,2022,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Land realisations where no profit purpose at time of acquisition: Analysis should align with model or paradigm purpose rule,Weekly Tax Bulletin,2022,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,The taxable facts as at 30 June rule from Carter does not have universal application: A reminder,Weekly Tax Bulletin,2022,Journal articles,,https://anzlaw.thomsonreuters.com/Document/I499a1649d27e11ec831a9b63d4a99eb9/View/FullText.html?transitionType=Default&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Valid disclaimer of trustee appointed trust income creates timely present entitlement for default income beneficiary?,Weekly Tax Bulletin,2021,Journal articles,,,Boccabella D; Hanna N,2,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"Franked distributions of trusts: systematic method of allocating them and other taxable income, with analysis of defective provisions",Australian Tax Forum,2021,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Partnership accounting profit/loss differs from its taxable income/tax loss: Why zero or little commentary in tax literature?,Weekly Tax Bulletin,2021,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Review of Australian discretionary trust and foreign beneficiaries’ foreign net capital gains: Desirable but unlikely,Weekly Tax Bulletin,2021,Journal articles,,,Boccabella D,1,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Deemed Dividend Rules: Tax Free Extraction of Profits and Exploitation of Structural Foundations of the Income Tax Regime,Australian Tax Review,2020,Journal articles,,https://ssrn.com/abstract=3665857,Boccabella D; Manwaring K,2,49,pp. 87 - 109,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Myer isolated transactions doctrine (first strand) at 33-year anniversary,The Tax Specialist,2020,Journal articles,,https://search-informit-com-au.wwwproxy1.library.unsw.edu.au/documentSummary;dn=315679817682876;res=IELAPA,Boccabella D,1,24,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"The age of the home worker - Part 2: calculation of home occupancy expenses, deduction apportionment and partial loss of CGT main residence exemptions","Australian Tax Forum: a journal of taxation policy, law and reform",2019,Journal articles,,,Bain K; Boccabella D,2,34,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 1,Weekly Tax Bulletin,2019,Journal articles,,,Boccabella D; Blissenden M,2,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 2,Weekly Tax Bulletin,2019,Journal articles,,,Boccabella D; Blissenden M,2,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,No full FITO on US capital gains as CGT discount “excludes” part of gain: Taxpayer in Burton has a case - Part 3,Weekly Tax Bulletin,2019,Journal articles,,,Boccabella D; Blissenden M,2,,,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Streaming of Franking Credits Curtailed by Bamford-Induced Amendments - an Unintended Consequence?,AUSTRALIAN TAX REVIEW,2019,Journal articles,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS%3A000508198900003&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=891bb5ab6ba270e68a29b250adbe88d1,Freudenberg B; Boccabella D,2,48,pp. 190 - 218,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,The age of the home worker – part 1: deductibility of home occupancy expenses,"Australian Tax Forum: a journal of taxation policy, law and reform",2018,Journal articles,,,Bain K; Boccabella D,2,33,pp. 1 - 43,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Net capital gains of trusts: A systematic method of allocating those gains and other taxable income and analysis of problematic and anomalous issues,AUSTRALIAN TAX REVIEW,2018,Journal articles,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS%3A000442497100004&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=891bb5ab6ba270e68a29b250adbe88d1,Boccabella D,1,47,pp. 128 - 159,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,The implementation of the goods and services tax in Malaysia: Potential issues perceived by business taxpayers,Journal of the Australasian Tax Teachers Association,2018,Journal articles,,,Santhariah A; Tran-Nam B; Boccabella D; Rametse N,4,13,pp. 351 - 397,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Who Bears the Burden for Business Losses: To What Extent Are Liability Issues of Business Structures Taught in Australian Accounting Degrees?,COMPANY AND SECURITIES LAW JOURNAL,2017,Journal articles,,,Boccabella D; Freudenberg B,2,35,pp. 235 - 260,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Division 7A and s 109 associate taxpayer rule allows for “manufacture” of taxpaying units with adult tax-free threshold: some food for thought,Weekly Tax Bulletin,2017,Journal articles,,,Boccabella D; Lawrence S,2,,pp. 1626 - 1630,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Taxation of SMSF Capital gains where total super balance exceeds $1.6m: Can trustee use unapplied net capital losses,Weekly Tax Bulletin,2017,Journal articles,,,Boccabella D; Lawrence S,2,17,pp. 545 - 547,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,"Determining proper taxpayer for a ""notional"" net capital gain on vesting of a discretionary trust asset is problematic",AUSTRALIAN TAX REVIEW,2017,Journal articles,,https://www.webofscience.com/api/gateway?GWVersion=2&SrcApp=PARTNER_APP&SrcAuth=LinksAMR&KeyUT=WOS%3A000426964200004&DestLinkType=FullRecord&DestApp=ALL_WOS&UsrCustomerID=891bb5ab6ba270e68a29b250adbe88d1,Boccabella D,1,46,pp. 193 - 210,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Labor’s alternative minimum income tax for discretionary trust allocations,Retirement & Estate Planning Bulletin,2017,Journal articles,,,Boccabella D,1,19,pp. 200 - 203,,,,UNSW staff profile,,,,,
Dale Boccabella,https://www.unsw.edu.au/staff/dale-boccabella,UNSW Sydney,Accounting,Labor’s proposed discretionary trust tax reform: Is there an over-taxation problem?,Weekly Tax Bulletin,2017,Journal articles,,,Boccabella D,1,,pp. 545 - 547,,,,UNSW staff profile,,,,,
