researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id,author_match_type,openalex_author_id,review_reason
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Mortality Among Adults With Cancer Undergoing Chemotherapy or Immunotherapy and Infected With COVID-19,JAMA Network Open,2022,Journal Articles,10.1001/jamanetworkopen.2022.0130,https://doi.org/10.1001/jamanetworkopen.2022.0130,Csilla Várnai; Claire Palles; Roland Arnold; Helen Curley; Karin Purshouse; Vinton W.T. Cheng; Stephen Booth; Naomi Campton; Graham P. Collins; D.J. Hughes; Austin Kulasekararaj; Alvin Lee; Anna Olsson‐Brown; Archana Sharma‐Oates; Mieke Van Hemelrijck; Lennard Y. W. Lee; Rachel Kerr; Gary Middleton; Jean‐Baptiste Cazier; UKCCMP Team; S. Pugh; Pippa Corrie; Ahmed Bedair; Madeleine Hewish; Pauline Leonard; Jack Illingworth; Stephen P. Hibbs; Nicolaos Diamantis; Samah Massalha; Claire Fuller; Caroline Usbourne; Duncan C. Gilbert; Jennifer Davies; Tom Newsom‐Davis; Rachel Sharkey; Rebecca Lee; Ann Tivey; Rohan Shotton; Clare Griffin; Laura Horsley; Simon Shamas; Joseph J. Sacco; Madbuba Choudhury; Jillian Noble; Heather Shaw; Rachel Bolton; Ana Ferreira; Peter S Hall; Paul Ramage; Jaishree Bhosle; Alison Massey; Michaela Hill; Leena Mukherjee; Aisha Ghaus; Sarah Derby; Sean Brown; Sarah Lowndes; Saorise Dolly; Beth Russell; Charlotte Moss; Daniel J. Müller; Annet Pillai; Shakeel Lowe; Lucy Cook; Christopher Scrase; R. Jyothirmayi; Ruth Board; Stephanie Cornthwaite; Shefail Parikh; Emma Cattell; Nicola Cox; Abigail Gault; Sam Moody; Caroline Dobeson; Mark Baxter; Tom Roques; Alexander Pawsey; Roderick Oakes; Lucinda Melcher; Olivia Chan; Sarah Ayers; Helen Bowyer; Mohammed Althohami; Sajjan Mittal; Laura Feeney; Avinash Aujayeb; Omar Sheikh; Sangary Kathirgamakarthigeyan; Victoria K. Woodcock; Francesca Holt; Simon Wyatt; Oliver Topping; Michaël Tilby; Madhumita Bhattacharyya; Emma Burke; Shawn Ellis; Joseph Chacko; Taslima Rabbi; Michael Rowe; Rebecca Sargent,100,5,e220130-e220130,American Medical Association,0.97183669,OpenAlex,True,59,5.4146,2574-3805,W4212971961,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Cryotherapy following total knee replacement,Cochrane Database of Systematic Reviews,2012,Journal Articles,10.1002/14651858.cd007911.pub2,https://doi.org/10.1002/14651858.cd007911.pub2,Sam Adie; Amy Kwan; Justine Naylor; Ian A. Harris; Rajat Mittal,5,,CD007911-CD007911,Elsevier BV,0.97532803,OpenAlex,True,117,7.6308,1361-6137,W1763533950,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,"Lessons from Hurricane Sandy: a Community Response in Brooklyn, New York",Journal of Urban Health,2013,Journal Articles,10.1007/s11524-013-9832-9,https://doi.org/10.1007/s11524-013-9832-9,Michael T. Schmeltz; Sonia K. González; Liza Fuentes; Amy Kwan; Anna Ortega‐Williams; Lisa Cowan,6,90,799-809,Springer Science+Business Media,0.98631892,OpenAlex,True,83,15.3306,0028-7091,W2068345056,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Assessing body image in patients with systemic sclerosis (scleroderma): Validation of the Adapted Satisfaction with Appearance Scale,Body Image,2007,Journal Articles,10.1016/j.bodyim.2006.11.002,https://doi.org/10.1016/j.bodyim.2006.11.002,Leslie J. Heinberg; Ian Kudel; Barbara White; Amy Kwan; Keya Medley; Fredrick M. Wigley; Jennifer A. Haythornthwaite,7,4,79-86,Elsevier BV,0.87782107,OpenAlex,False,64,2.3167,1740-1445,W2034606025,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,"Catastrophizing, Pain, and Social Adjustment in Scleroderma: Relationships With Educational Level",Clinical Journal of Pain,2006,Journal Articles,10.1097/01.ajp.0000210918.26159.94,https://doi.org/10.1097/01.ajp.0000210918.26159.94,Robert R. Edwards; Layne Goble; Amy Kwan; Ian Kudel; Lynanne McGuire; Leslie J. Heinberg; Fred Wigley; Jennifer A. Haythornthwaite,8,22,639-646,Lippincott Williams & Wilkins,0.82347589,OpenAlex,False,57,1.4876,0749-8047,W2076960300,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Bone metastases in germ cell tumours: lessons learnt from a large retrospective study,British Journal of Urology,2013,Journal Articles,10.1111/bju.12218,https://doi.org/10.1111/bju.12218,Mariam Jamal‐Hanjani; Anna Karpathakis; Amy Kwan; Danish Mazhar; Wendy Ansell; Jonathan Shamash; Peter Harper; Sarah Rudman; Thomas Powles; Simon Chowdhury,10,112,176-181,Wiley,0.90533101,OpenAlex,True,39,3.0783,1464-4096,W1520743273,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Oncolytic Virotherapy Treatment of Breast Cancer: Barriers and Recent Advances,Viruses,2021,Journal Articles,10.3390/v13061128,https://doi.org/10.3390/v13061128,Amy Kwan; Natalie Winder; Munitta Muthana,3,13,1128-1128,Multidisciplinary Digital Publishing Institute,0.95317944,OpenAlex,True,39,4.4398,1999-4915,W3172416213,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Macrophages Mediate the Antitumor Effects of the Oncolytic Virus HSV1716 in Mammary Tumors,Molecular Cancer Therapeutics,2020,Journal Articles,10.1158/1535-7163.mct-20-0748,https://doi.org/10.1158/1535-7163.mct-20-0748,Amy Kwan; Natalie Winder; Emer Atkinson; Haider Al‐Janabi; Richard J. Allen; Russell Hughes; Mohammed Moamin; Rikah Louie; Dhanajay Evans; Mathew D. Hutchinson; Drew Capper; Katie Cox; Joshua Handley; Adam Wilshaw; Taewoo Kim; Simon Tazzyman; Sanjay Srivastava; Penelope D. Ottewell; Jayakumar Vadakekolathu; A. Graham Pockley; Claire E. Lewis; Janet E. Brown; Sarah Danson; Joe Conner; Munitta Muthana,25,20,589-601,American Association for Cancer Research,0.90952585,OpenAlex,True,36,2.7568,1535-7163,W3110982470,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Impact of the Closure of a Large Urban Medical Center: A Quantitative Assessment (Part II),Journal of Community Health,2012,Journal Articles,10.1007/s10900-012-9551-2,https://doi.org/10.1007/s10900-012-9551-2,Diana Romero; Amy Kwan; Sue Nestler; Neal L. Cohen,4,37,995-1005,Springer Science+Business Media,0.74281902,OpenAlex,False,17,0.6416,0094-5145,W2158438813,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Proliferating Cell Nuclear Antigen in the Era of Oncolytic Virotherapy,Viruses,2024,Journal Articles,10.3390/v16081264,https://doi.org/10.3390/v16081264,Amy Kwan; India Mcdermott-Brown; Munitta Muthana,3,16,1264-1264,Multidisciplinary Digital Publishing Institute,0.94362552,OpenAlex,True,11,4.1344,1999-4915,W4401384829,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Physician engagement in reproductive health advocacy: findings from a mixed methods evaluation of a leadership and advocacy program,BMC Medical Education,2024,Journal Articles,10.1186/s12909-024-05410-5,https://doi.org/10.1186/s12909-024-05410-5,Heidi E. Jones; Meredith Manze; Anita Brakman; Amy Kwan; MiQuel Davies; Diana Romero,6,24,476-476,BioMed Central,0.92935265,OpenAlex,True,6,3.814,1472-6920,W4396530324,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Physician perspectives of abortion advocacy: findings from a mixed-methods study,BMJ Sexual & Reproductive Health,2022,Journal Articles,10.1136/bmjsrh-2021-201394,https://doi.org/10.1136/bmjsrh-2021-201394,Meredith Manze; Diana Romero; Amy Kwan; Taylor Rose Ellsworth; Heidi E. Jones,5,49,7-11,BMJ,0.87510227,OpenAlex,False,13,2.3258,2515-1991,W4223454724,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,"Application of Empirical Research Findings in Public Health Advocacy: Focus on Maternal, Child, and Reproductive Health",Journal of Social Issues,2013,Journal Articles,10.1111/josi.12033,https://doi.org/10.1111/josi.12033,Diana Romero; Amy Kwan; Wendy Chavkin,3,69,633-644,Wiley,0.86695279,OpenAlex,False,5,1.8161,0022-4537,W1555656179,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Macrophage Delivered HSV1716 Is Active against Triple Negative Breast Cancer,Future Pharmacology,2022,Journal Articles,10.3390/futurepharmacol2040029,https://doi.org/10.3390/futurepharmacol2040029,Amy Kwan; Faith Howard; Natalie Winder; Emer Atkinson; Ameera B. A. Jailani; Priya Patel; Richard J. Allen; Penelope D. Ottewell; Gary Shaw; Joe Conner; Caroline Wilson; Sanjay Srivastava; Sarah Danson; Claire E. Lewis; Janet E. Brown; Munitta Muthana,16,2,444-459,,0.65361943,OpenAlex,False,4,0.3423,2673-9879,W4307262735,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Recombination Suppression Drives Expansion of the Drosophila Dot Chromosome,Molecular Biology and Evolution,2025,Journal Articles,10.1093/molbev/msaf304,https://doi.org/10.1093/molbev/msaf304,Timothy J. Stanek; Wilson Leung; C. Shaffer; The Genomics Education Partnership; Adam J. Kleinschmit; Jose Mix; Julie M. Starkey; Sam Ogden; Srebrenka Robic; Diana Roman; Jamie Candler; Kate C Ellis; Mahal J. Bugay; Paige A. LaMore; Zoie Wiltz; Daija Dennis; Ken Saville; Alyvia M Martinez; Angelique Wooley; Breh L. K. Ruger; Rayna Edwards; Paula Croonquist; Laurie S. Stevison; Andrea Pietruska; Cassidy Schneider; Cierla V McGuire Sams; Faith J. Boyer-Millander; Jacqueline L Barry; Kyndall P Skelton; Sheniqua R. Glover; Troy LoBue; Mohammad Sujaur Rahman; Stephen M. Tansie; Alma Rodriguez Estrada; Jessica L Pope; Malia E. Leifheit; Andrew M. Arsham; Adam T. Smiley; Afeez Sodeinde; Megan Parenteau; Robyn Huber; Spencer Tye; Amie J. McClellan; Aahir Mrittika; Atlas Seres; Azlin Altamirano; Brandi Ocasio; Destiny-Rose Chery; Emma V Danylin; Fazeen Munir; Gates Leonard; Griffin Byrne; Harrison A B Sanger; Holly J MacMullen; Jelena Mijatoviƒá; Jesus Cardenas; Jordyn S Jackson; Jupiter C. Kalinowski; Maya I Beck-Kjer; Olivia Chiossone; Samreen Mehak; Sergiu-Mihai Ciavoi; Shashvat Shah; Thomas Evans; Willa Donovan; Yasmine Fundi; Leocadia V. Paliulis; Ali Lenard; Alyssa Peeples; Carl Silverstein; Carly Irvine; Drew Wellington; Emily Ruth Sartori; Macy Barton; Megan Keeney; Megan Ritter; Melissa McCarter; Rebecca Rooney; Zachary Mahaney; Dennis Revie; Cory J. Cranston; Gregory Hovhanessian; Nicholas Edward Bui; Valeria Garcia; Anya Goodman; Allison F Malmberg; Christina Dang; Priscilla M Gonzalez; Aparna Sreenivasan; Cindy S. Malone; Chloe N Mintlow; Lauren R Malone; Roksana Zare; Jim Youngblom; Joseph J Hobbie; Arezu Karimi; Carlos Quiroz Mendez; Chelsey King; Christy Giang; Cody Fondse,100,42,,Oxford University Press,0.8703383,OpenAlex,False,2,1.6658,0737-4038,W7117236637,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Improving Survival of Patients With Hodgkin Lymphoma Over 4 Decades: Experience of the British National Lymphoma Investigation (BNLI) With 6834 Patients,Clinical Lymphoma Myeloma & Leukemia,2016,Journal Articles,10.1016/j.clml.2016.11.004,https://doi.org/10.1016/j.clml.2016.11.004,Amy Kwan; Nick Chadwick; Barry W. Hancock,3,17,108-119,Elsevier BV,0.67944025,OpenAlex,False,14,0.4615,2152-2650,W2555494512,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Use of Comparative Case Study Methodology for US Public Health Policy Analysis: A Review,Journal of Public Health Management and Practice,2016,Journal Articles,10.1097/phh.0000000000000406,https://doi.org/10.1097/phh.0000000000000406,Lauren M. Dinour; Amy Kwan; Nicholas Freudenberg,3,23,81-89,Lippincott Williams & Wilkins,0.92347422,OpenAlex,True,13,3.2521,1078-4659,W2539775618,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Methodologic approach to sampling and field-based data collection for a large-scale in-depth interview study: The Social Position and Family Formation (SPAFF) project,PLoS ONE,2019,Journal Articles,10.1371/journal.pone.0210776,https://doi.org/10.1371/journal.pone.0210776,Diana Romero; Amy Kwan; Lauren Suchman,3,14,e0210776-e0210776,Public Library of Science,0.87818261,OpenAlex,False,10,2.2711,1932-6203,W2908954919,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Impact of the Closure of a Large Urban Medical Center: A Qualitative Assessment (Part I),Journal of Community Health,2012,Journal Articles,10.1007/s10900-012-9550-3,https://doi.org/10.1007/s10900-012-9550-3,Diana Romero; Amy Kwan; Justin Swearingen; Sue Nestler; Neal L. Cohen,5,37,982-994,Springer Science+Business Media,0.93035538,OpenAlex,True,10,2.6267,0094-5145,W4230983152,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Iliopsoas abscess: an unusual cause of postpartum sepsis,Obstetric Medicine,2009,Journal Articles,10.1258/om.2008.080012,https://doi.org/10.1258/om.2008.080012,Amy Kwan; Akshay Bhanshaly; Charles Wright,3,2,30-31,SAGE Publishing,0.158128,OpenAlex,False,5,0.0,1753-495X,W2058792130,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,"Sexual and Reproductive Health Advocacy Successes, Failures, and Needs in the United States: Perspectives From Key Stakeholders",Health Promotion Practice,2022,Journal Articles,10.1177/15248399221137053,https://doi.org/10.1177/15248399221137053,Meredith Manze; Amy Kwan; Heidi E. Jones; Lynn Roberts; Diana Romero,5,25,183-187,SAGE Publishing,0.68356688,OpenAlex,False,4,0.5852,1524-8399,W4309866156,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Feasibility and Reliability of the System for Observing Play and Leisure Activity in Youth (SOPLAY) for Measuring Moderate to Vigorous Physical Activity in Children Visiting an Interactive Children’s Museum Exhibition,American Journal of Health Promotion,2016,Journal Articles,10.1177/0890117116671074,https://doi.org/10.1177/0890117116671074,Alen Agaronov; May May Leung; Jeanette M. Garcia; Amy Kwan; Ming‐Chin Yeh; Christina Zarcadoolas; Charles Platkin,7,32,210-214,SAGE Publishing,0.82405929,OpenAlex,False,8,1.3104,0890-1171,W2528383008,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Small Bowel Perforation in a Patient with Metastatic Renal Cancer Treated with Radiotherapy and Sunitinib,British Journal of Medical and Surgical Urology,2009,Journal Articles,10.1016/j.bjmsu.2009.11.003,https://doi.org/10.1016/j.bjmsu.2009.11.003,Amy Kwan; Sophie McGrath; Alison Falconer; Patrizia Cohen; G. N. Buchanan; Tim Christmas; Philip Savage,7,3,253-255,Elsevier BV,0.5185076,OpenAlex,False,3,0.1396,1875-9742,W2013489947,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,The use of social media for reproductive health advocacy among physicians: a content analysis of tweets by physicians engaged in reproductive health care,Journal of Communications In Healthcare,2024,Journal Articles,10.1080/17538068.2024.2360825,https://doi.org/10.1080/17538068.2024.2360825,P. Christopher Palmedo; Diana Romero; Amy Kwan; Courtney Takats; Sarah Pickering; Heidi E. Jones,6,17,285-291,Taylor & Francis,0.73417265,OpenAlex,False,2,0.8577,1753-8068,W4399493525,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,We Bring You Capital and Job – Foreign Investment and Employment in Malaysia,Capital Markets Review,2020,Journal Articles,10.66674/y9d60k80,https://doi.org/10.66674/y9d60k80,Amy Dict-Weng Kwan; Tuck Cheong Tang,2,28,49-63,,0.20782429,OpenAlex,False,1,0.0,1823-4445,W3109512302,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Reprint of Director discretion and insider trading profitability,Pacific-Basin Finance Journal,2016,Journal Articles,10.1016/j.pacfin.2016.06.012,https://doi.org/10.1016/j.pacfin.2016.06.012,Sean Foley; Amy Kwan; Thomas H. McInish; Richard Philip,4,45,52-67,Elsevier BV,0.70984941,OpenAlex,False,1,0.4247,0927-538X,W2478998272,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Goal Modeling without Stress: An Empirical Study of User Engagement.,iStar,2017,Journal Articles,,,Amy Kwan; Eric Yu,2,,85-90,,0.1031957,OpenAlex,False,1,0.0,,W2734108419,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,Role of Chemotherapy in Upper Urinary Tract Urothelial Cell Cancers,Future Oncology,2011,Journal Articles,10.2217/fon.11.83,https://doi.org/10.2217/fon.11.83,Amy Kwan; Danish Mazhar,2,7,1067-1075,Future Medicine,0.18582055,OpenAlex,False,0,0.0,1479-6694,W2166660396,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,"V6 PRIMROSE: A national trainee collaborative-led, multicentre prospective audit on the care of breast cancer patients with central nervous system disease in the UK",BJS Open,2021,Journal Articles,10.1093/bjsopen/zrab034.005,https://doi.org/10.1093/bjsopen/zrab034.005,Mark P. Lythgoe; Vinton W.T. Cheng; Hayley McKenzie; Amy Kwan; Apostolos Konstantis; Ruichong Ma; Pei J Teo; Amanda Fitzpatrick; Laura Woodhouse & Carlo Palmieri on behalf of the BNTRC and PRIMROSE study group,9,5,,Wiley,0.05554935,OpenAlex,False,0,0.0,2474-9842,W3156963905,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,A112 THE EDMONTON PANCREATICOBILIARY INFLAMMATION AND CANCER (EPIC) PROGRAM – A NEW MULTIDISCIPLINARY COORDINATION OF CARE INITIATIVE,Journal of the Canadian Association of Gastroenterology,2024,Journal Articles,10.1093/jcag/gwad061.112,https://doi.org/10.1093/jcag/gwad061.112,Gurpal Sandha; Hiba A. Abdulhussain; Thomas Krahn; Maite Timmermans; Gill Louise Buchanan; E Bereznicki; Pamela Mathura; Amy Kwan; S Perryman; Sander Veldhuyzen van Zanten,10,7,83-85,Oxford University Press,0.01912272,OpenAlex,False,0,0.0,2515-2084,W4391873505,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,An Overview of the Bench to Bedside Models of Breast Cancer in the Era of Cancer Immunotherapy,Medical Research Archives,2024,Journal Articles,10.18103/mra.v12i6.5514,https://doi.org/10.18103/mra.v12i6.5514,Amy Kwan; Kylie Stark; Richard J. Allen; Penelope D. Ottewell; Munitta Muthana,5,12,,European Society of Medicine,0.07766253,OpenAlex,False,0,0.0,2375-1916,W4400243027,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,A238 A MULTIDISCIPLINARY APPROACH FOR PANCREATICOBILIARY CANCER WITH EMPHASIS ON TIME TO CARE ACCESS: AN OVERVIEW OF THE EDMONTON PANCREATICOBILIARY INFLAMMATION AND CANCER (EPIC) PROGRAM,Journal of the Canadian Association of Gastroenterology,2025,Journal Articles,10.1093/jcag/gwae059.238,https://doi.org/10.1093/jcag/gwae059.238,Narges Ashrafinia; Maite Timmermans; Gill Louise Buchanan; S Perryman; Amy Kwan; E Bereznicki; Pamela Mathura; Gurpal Sandha,8,8,i98-i99,Oxford University Press,0.02453956,OpenAlex,False,0,0.0,2515-2084,W4407285551,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,A case of dysuria following periodontal abscess,Australian Journal of General Practice,2025,Journal Articles,10.31128/ajgp-01-25-7526,https://doi.org/10.31128/ajgp-01-25-7526,Emma Carbone; Amy Kwan; Bosco Wu; Tim Tse,4,54,722-726,Royal Australian College of General Practitioners,0.3055136,OpenAlex,False,0,0.0,2208-794X,W4414812006,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Amy Kwan,https://www.unsw.edu.au/staff/amy-kwan,UNSW Sydney,Finance,A dizzying diagnosis,Australian Journal of General Practice,2025,Journal Articles,10.31128/ajgp-03-25-7592,https://doi.org/10.31128/ajgp-03-25-7592,Sadhvi S.S. Naresh; Bosco Wu; Tim Tse; Amy Kwan,4,54,892-894,Royal Australian College of General Practitioners,0.41193331,OpenAlex,False,0,0.0,2208-794X,W4416987095,name+institution,A5013101383,probable name collision: only 3 of 37 in a business journal
Evelyn Lai,https://www.unsw.edu.au/staff/evelyn-lai,UNSW Sydney,Finance,Restoration of images contaminated by mixed Gaussian and impulse noise using a recursive minimum–maximum method,IEE Proceedings - Vision Image and Signal Processing,1998,Journal Articles,10.1049/ip-vis:19981995,https://doi.org/10.1049/ip-vis:19981995,Yanlei Xu; E.M.-K. Lai,2,145,264-264,Institution of Engineering and Technology,0.70766198,OpenAlex,False,21,0.5001,1350-245X,W2116039692,name+institution,A5052018215,journal is not on the ABDC list
Evelyn Lai,https://www.unsw.edu.au/staff/evelyn-lai,UNSW Sydney,Finance,Intelligent critic system for architectural design,IEEE Transactions on Knowledge and Data Engineering,1997,Journal Articles,10.1109/69.617054,https://doi.org/10.1109/69.617054,Hon Wai Chun; E.M.-K. Lai,2,9,625-639,IEEE Computer Society,0.98225309,OpenAlex,True,16,9.0699,1041-4347,W2155820656,name+institution,A5052018215,journal is not on the ABDC list
Evelyn Lai,https://www.unsw.edu.au/staff/evelyn-lai,UNSW Sydney,Finance,Research on the Construction and Application of Personalized Learning Mode in Colleges and Universities under the Smart Classroom Environment,Journal of educational theory and practice.,2025,Journal Articles,10.62177/jetp.v2i3.554,https://doi.org/10.62177/jetp.v2i3.554,Chanchong Chao; E.M.-K. Lai,2,2,,,0.23892133,OpenAlex,False,0,0.0,3005-9305,W4413764224,name+institution,A5052018215,journal is not on the ABDC list
Evelyn Lai,https://www.unsw.edu.au/staff/evelyn-lai,UNSW Sydney,Finance,Research on the Construction and Application of Personalized Learning Mode in Colleges and Universities under the Smart Classroom Environment,Advances in Management and Intelligent Technologies,2025,Journal Articles,10.62177/amit.v1i5.865,https://doi.org/10.62177/amit.v1i5.865,Chanchong Chao; E.M.-K. Lai,2,1,,,0.11073223,OpenAlex,False,0,0.0,3079-5850,W4416026576,name+institution,A5052018215,journal is not on the ABDC list
Suk Lee,https://www.unsw.edu.au/staff/suk-lee,UNSW Sydney,Finance,Future of IoT Networks: A Survey,Applied Sciences,2017,Journal Articles,10.3390/app7101072,https://doi.org/10.3390/app7101072,Suk Lee; Mungyu Bae; Hwangnam Kim,3,7,1072-1072,Multidisciplinary Digital Publishing Institute,0.98927482,OpenAlex,True,212,14.0518,2076-3417,W2765606838,name+institution,A5023783774,probable name collision: only 2 of 186 in a business journal
Suk Lee,https://www.unsw.edu.au/staff/suk-lee,UNSW Sydney,Finance,"Outcomes of gynecologic cancer surgery during the COVID-19 pandemic: an international, multicenter, prospective CovidSurg-Gynecologic Oncology Cancer study",American Journal of Obstetrics and Gynecology,2022,Journal Articles,10.1016/j.ajog.2022.06.052,https://doi.org/10.1016/j.ajog.2022.06.052,Christina Fotopoulou; Tabassum Khan; Juraj Bracinik; James Glasbey; Nadeem Abu-Rustum; Luis Chiva; Anna Fagotti; Keiichi Fujiwara; Rahel Ghebre; Murat Gutelkin; Thomas O. Konney; Joseph Ng; René Pareja; Rajkumar Kottayasamy Seenivasagam; Jalid Sehouli; Shylasree Surappa; Aneel Bhangu; Elaine Leung; Sudha Sundar; Dmitri Nepogodiev; Kwabena Siaw-Acheampong; Ruth Benson; Edward Bywater; Daoud Chaudhry; Brett E Dawson; Jonathan P Evans; James Glasbey; Rohan R Gujjuri; Emily Heritage; Conor Jones; Sivesh K. Kamarajah; Chetan Khatri; Rachel A Khaw; James M Keatley; Andrew T. Knight; Samuel Lawday; Elizabeth Li; Harvinder Mann; Ella J Marson; Kenneth A McLean; Siobhan McKay; Emily Mills; Gianluca Pellino; Maria Picciochi; Elliott H Taylor; Abhinav Tiwari; Joana Simões; Isobel M Trout; Mary L Venn; Richard Wilkin; Aneel Bhangu; Joana Simões; Tom Abbott; Sadi A. Abukhalaf; Michel Adamina; Adesoji Ademuyiwa; Arnav Agarwal; Murat Akkulak; Ehab Alameer; Derek Alderson; Felix Alakaloko; Markus Albertsmeier; Osaid Alser; Muhammad Alshaar; Sattar Alshryda; Alexis P. Arnaud; Knut Magne Augestad; Faris Ayasra; José Azevedo; Brittany Bankhead-Kendall; Emma Barlow; David Beard; Ruth Benson; Ruth Blanco‐Colino; Amanpreet Brar; Ana Minaya‐Bravo; Kerry Breen; Chris Bretherton; Igor Lima Buarque; Josh Burke; Edward Caruana; Mohammad Chaar; Sohini Chakrabortee; Peter Christensen; Daniel Cox; Moisés Cukier; Miguel F Cunha; Giana H. Davidson; Anant Desai; Salomone Di Saverio; Thomas M Drake; John Edwards; Muhammed Elhadi; Sameh Hany Emile; Shebani Farik; Marco Fiore; J.E.F. Fitzgerald; Samuel Ford; Tatiana Garmanova; Gaetano Gallo,100,227,735.e1-735.e25,Elsevier BV,0.96948773,OpenAlex,True,61,5.1342,0002-9378,W4283721846,name+institution,A5023783774,probable name collision: only 2 of 186 in a business journal
